merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_category,onboarding_date_status,settlement_account_status,merchant_status_status,ticket_size_status
MCH4604,"Som, Kalla And Dada",5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2024-07-02,,Unknown,1478.97,Unique,present,MISSING,PROVIDED,PROVIDED
MCH6738,Bhavsar Llc,5699,Apparel,Individual,Lucknow,Uttar Pradesh,2024-05-29,,Active,1036.37,Found Duplicate,present,MISSING,PROVIDED,MISSING_OR_INVALID
MCH1530,Parmer Bath,5699,Apparel,Individual,Lucknow,Uttar Pradesh,2024-04-29,JMXE9195425616055,Active,375.02,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH6809,Reddy Bhatt,5699,Apparel,Partnership,Bengaluru,Karnataka,2024-08-05,,Active,0.2382,Unique,present,MISSING,PROVIDED,PROVIDED
MCH4331,"Wali, Buch And Nagi",5699,Apparel,Sole Proprietorship,Amritsar,Punjab,2025-07-31,5107486763,Inactive,1154.33,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3872,Krish Group,5699,Apparel,Partnership,Amritsar,Punjab,2024-03-14,,Unknown,3660.6,Unique,present,MISSING,PROVIDED,PROVIDED
MCH7577,"Gandhi, Golla And Arora",5699,Apparel,Private Limited,Amritsar,Punjab,2023-01-26,XXXX6249,Unknown,1036.37,Unique,present,MASKED,PROVIDED,MISSING_OR_INVALID
MCH9223,D’Alia Hans,5699,Apparel,Partnership,Chennai,Tamil Nadu,2024-12-09,IGRU6773049024506,Active,0.376,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH5695,Divan Inc,5699,Apparel,Individual,Hyderabad,Telangana,2025-08-20,6474425874,Active,1036.37,Unique,present,VALID_NUMERIC,PROVIDED,MISSING_OR_INVALID
MCH9426,Puri Soman,5699,Apparel,Individual,Bengaluru,Karnataka,2023-10-28,EDMP4232010731701,Unknown,333.54,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH5829,Mall Llc,5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2023-07-12,,Unknown,940.71,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH9255,"Hegde, Dass And Sehgal",5699,Apparel,Private Limited,Amritsar,Punjab,2023-07-19,,Active,1054.61,Unique,present,MISSING,PROVIDED,PROVIDED
MCH1327,Gandhiplc,5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-11-02,XXXX1458,Active,902.09,Unique,present,MASKED,PROVIDED,PROVIDED
MCH9226,"Sandhu, Jha And Randhawa",5699,Apparel,Individual,Pune,Maharashtra,2024-12-03,SCBS7759924913955,Active,5451.11,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7585,Rattan Ratti,5699,Apparel,Partnership,Pune,Maharashtra,2026-02-10,,Unknown,3222.54,Unique,present,MISSING,PROVIDED,PROVIDED
MCH3072,Vora Soman,5699,Apparel,Individual,Amritsar,Punjab,2026-02-13,DNMO7101498768595,Active,1993.93,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH1359,Palan Minhas,5699,Apparel,Individual,Chennai,Tamil Nadu,2024-08-24,,Unknown,1891.91,Unique,present,MISSING,PROVIDED,PROVIDED
MCH9022,"Kunda,Dugarandkari",5699,Apparel,Individual,Amritsar,Punjab,2026-01-24,,Unknown,0.1439,Unique,present,MISSING,PROVIDED,PROVIDED
MCH6332,Varkey Jha,5699,Apparel,Sole Proprietorship,Amritsar,Punjab,2025-10-13,,Active,304.48,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6450,Bobal Ltd,5699,Apparel,Individual,Lucknow,Uttar Pradesh,2025-06-25,UETF4584172674537,Suspended,3737.71,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH5061,Natarajan Inc,5699,Apparel,Sole Proprietorship,Ludhiana,Punjab,2025-10-10,3155448560,Active,1265.19,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH2180,Chaudry Sidhu,5699,Apparel,Private Limited,Pune,Maharashtra,,4033666419,Active,3354.42,Unique,missing,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3917,Chowdhury Pandit,5699,Apparel,Private Limited,Hyderabad,Telangana,2023-04-02,XXXX2174,Active,445.99,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH2153,"Dara, Vala And Venkatesh",5699,Apparel,Partnership,Chennai,Tamil Nadu,2023-06-21,,Active,1608.19,Unique,present,MISSING,PROVIDED,PROVIDED
MCH1714,Sampath Llc,5699,Apparel,Partnership,Lucknow,Uttar Pradesh,2026-02-17,6074080748,Active,585.92,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH9109,"Som, Mittal And Wable",5699,Apparel,Partnership,Amritsar,Punjab,2024-11-08,XXXX6670,Active,0.553,Unique,present,MASKED,PROVIDED,PROVIDED
MCH1336,"Zachariah, Bhattacharyya And Hegde",5699,Apparel,Sole Proprietorship,Bengaluru,Karnataka,2024-08-30,DKKL1392349779906,Active,0.919,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH4667,Solanki Batta,5699,Apparel,Individual,Kolkata,West Bengal,2025-07-05,3048400302,Unknown,1692.44,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH4022,Varughese Taneja,5699,Apparel,Individual,Bengaluru,Karnataka,2025-12-12,SVSY3016666927119,Suspended,724.48,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7350,Sule Llc,5699,Apparel,Private Limited,Amritsar,Punjab,2024-01-31,XXXX7331,Unknown,1887.59,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH4225,Karnik Llc,5699,Apparel,Individual,Ludhiana,Punjab,2025-02-05,5426893917,Active,537.99,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3442,Choudhry Ravi,5699,Apparel,Partnership,Mumbai,Maharashtra,2025-09-09,XXXX0565,Unknown,0.3189,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH9519,Shere Banik,5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,2025-07-04,,Unknown,889.4,Unique,present,MISSING,PROVIDED,PROVIDED
MCH5904,Karan Ltd,5699,Apparel,Sole Proprietorship,Bengaluru,Karnataka,2023-11-29,,Active,0.1441,Unique,present,MISSING,PROVIDED,PROVIDED
MCH3488,Sarna Ramaswamy,5699,Apparel,Private Limited,Kolkata,West Bengal,2025-12-10,XXXX7182,Active,1118.6,Unique,present,MASKED,PROVIDED,PROVIDED
MCH8889,"Mahal, Edwin And Dasgupta",5699,Apparel,Sole Proprietorship,Pune,Maharashtra,2023-03-26,,Suspended,1329.62,Unique,present,MISSING,PROVIDED,PROVIDED
MCH7444,Lanka Shukla,5699,Apparel,Private Limited,Mumbai,Maharashtra,2023-03-13,7637285335,Active,2750.67,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH4481,Nagi Inc,5699,Apparel,Partnership,Pune,Maharashtra,2023-11-28,,Active,2759.79,Unique,present,MISSING,PROVIDED,PROVIDED
MCH4102,Oza Sarna,5699,Apparel,Individual,Delhi,Delhi,2025-01-20,1096969735,Active,1950.82,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH7430,Arya Group,5699,Apparel,Individual,Kolkata,West Bengal,,,Active,1727.74,Found Duplicate,missing,MISSING,PROVIDED,PROVIDED
MCH5644,Prabhu Chaudhry,5699,Apparel,Individual,Hyderabad,Telangana,2025-09-05,ZHTO8764288741052,Unknown,2643.86,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH1124,"Hayre, Chana And Bhasin",5699,Apparel,Sole Proprietorship,Jaipur,Rajasthan,2024-10-05,,Active,843.01,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH5040,Oza Gulati,5699,Apparel,Partnership,Mumbai,Maharashtra,,,Active,1665.61,Found Duplicate,missing,MISSING,PROVIDED,PROVIDED
MCH4636,Sura And Sons,5699,Apparel,Partnership,Mumbai,Maharashtra,2023-12-17,8723730767,Active,1036.37,Unique,present,VALID_NUMERIC,PROVIDED,MISSING_OR_INVALID
MCH5660,Sama Llc,5699,Apparel,Private Limited,Lucknow,Uttar Pradesh,,,Active,18060.85,Found Duplicate,missing,MISSING,PROVIDED,PROVIDED
MCH4220,Gopal Dara,5699,Apparel,Individual,Bengaluru,Karnataka,2025-10-02,,Active,532.47,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH8160,Amble And Sons,5699,Apparel,Individual,Jaipur,Rajasthan,2023-05-18,XXXX4907,Unknown,5769.95,Unique,present,MASKED,PROVIDED,PROVIDED
MCH1984,"Lala, Wagle And Bal",5699,Apparel,Partnership,Chennai,Tamil Nadu,2025-08-01,,Active,5244.88,Unique,present,MISSING,PROVIDED,PROVIDED
MCH4608,Chandran Group,5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-09-05,ZPZS9153819912287,Active,950.53,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH2887,Rau Saha,5699,Apparel,Sole Proprietorship,Delhi,Delhi,2023-08-17,XXXX7555,Active,1036.37,Unique,present,MASKED,PROVIDED,MISSING_OR_INVALID
MCH6376,"Buch, Raj And Karan",5699,Apparel,Partnership,Hyderabad,Telangana,2024-01-08,IBFA8815501065293,Active,1366.82,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH9821,Natt Kibe,5699,Apparel,Private Limited,Chennai,Tamil Nadu,2025-05-03,XXXX1748,Active,4072.48,Unique,present,MASKED,PROVIDED,PROVIDED
MCH6513,Ch0Pra Kannan,5699,Apparel,Sole Proprietorship,Pune,Maharashtra,2024-12-11,XXXX5329,Active,240.8,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH8095,Saxena Llc,5699,Apparel,Private Limited,Jaipur,Rajasthan,2024-08-16,7415423811,Active,304.22,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH4630,Modi And Sons,5699,Apparel,Sole Proprietorship,Jalandhar,Punjab,2023-03-01,,Active,333.91,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH8823,Subramanian Inc,5699,Apparel,Partnership,Mumbai,Maharashtra,2024-01-31,XXXX6614,Suspended,523.43,Unique,present,MASKED,PROVIDED,PROVIDED
MCH1227,Shah And Sons,5699,Apparel,Private Limited,Lucknow,Uttar Pradesh,2023-07-01,,Active,1660.63,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH5973,Biswas Dass,5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,2025-11-25,XXXX1507,Active,1036.37,Unique,present,MASKED,PROVIDED,MISSING_OR_INVALID
MCH3539,"Korpal, Nair And Chana",5699,Apparel,Sole Proprietorship,Mumbai,Maharashtra,2024-05-29,QRQK3185986773369,Inactive,2681.05,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH8912,"Wable, Sule And Mani",5699,Apparel,Individual,Hyderabad,Telangana,2023-08-11,,Active,510.28,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6675,Vora And Sons,5699,Apparel,Partnership,Ludhiana,Punjab,2025-07-31,XXXX5119,Active,769.28,Unique,present,MASKED,PROVIDED,PROVIDED
MCH6131,"Dhar, Dada And Bakshi",5699,Apparel,Partnership,Bengaluru,Karnataka,2024-03-10,4600930161,Active,0.1921,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH9996,Kala Nadkarni,5699,Apparel,Private Limited,Delhi,Delhi,2023-03-01,XXXX7769,Active,628.11,Unique,present,MASKED,PROVIDED,PROVIDED
MCH1730,Buch Ltd,5699,Apparel,Individual,Kolkata,West Bengal,2023-04-25,,Active,813.32,Unique,present,MISSING,PROVIDED,PROVIDED
MCH6464,Date Llc,5699,Apparel,Private Limited,Bengaluru,Karnataka,2025-12-03,XXXX4137,Active,0.3772,Unique,present,MASKED,PROVIDED,PROVIDED
MCH3002,"Dey, Chopra And Vig",5699,Apparel,Individual,Ludhiana,Punjab,2024-10-27,7833308029,Active,761.12,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH7613,"Parekh, Ch0Kshi And Das",5699,Apparel,Private Limited,Jaipur,Rajasthan,2024-11-23,VJFK9617718212331,Unknown,419.26,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH5850,Virk Loke,5699,Apparel,Partnership,Mumbay,Maharashtra,,QOYF2667573006038,Active,0.3558,Unique,missing,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7885,Sura Llc,5699,Apparel,Partnership,Lucknow,Uttar Pradesh,2025-04-15,XXXX8127,Active,2999.12,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH8870,Sandhu Inc,5699,Apparel,Private Limited,Ludhiana,Punjab,2023-02-14,,Inactive,1036.37,Found Duplicate,present,MISSING,PROVIDED,MISSING_OR_INVALID
MCH6598,"Sachar, Thakkar And Sachar",5699,Apparel,Private Limited,Amritsar,Punjab,2024-01-26,FGUE5705085368360,Active,0.421,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH4236,"Sinha, Shukla And Lad",5699,Apparel,Sole Proprietorship,Delhi,Delhi,2025-07-08,OZWZ6142696689139,Active,0.844,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH8643,"Kota, Aurora And Dugal",5699,Apparel,Sole Proprietorship,Delhi,Delhi,2024-04-15,GITM5447907663864,Unknown,1011.23,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH3267,Balasubramanian Butala,5699,Apparel,Individual,Chennai,Tamil Nadu,2025-10-20,XXXX4438,Unknown,1843.39,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH3398,Chaudhary Ltd,5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2023-11-18,5865246306,Inactive,1864.25,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH7828,Jhaveri And Sons,5699,Apparel,Individual,Kolkata,West Bengal,2026-02-23,3888843924,Unknown,3105.54,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH2786,"Majumdar, Ramachandran And Bava",5699,Apparel,Private Limited,Ludhiana,Punjab,2023-12-17,,Active,1259.46,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH4440,"Krishna, Bora And Swaminathan",5699,Apparel,Private Limited,Jalandhar,Punjab,2023-04-29,5872380651,Suspended,749.44,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3324,Char Gera,5699,Apparel,Partnership,Pune,Maharashtra,2026-02-20,DLMI3626046968894,Suspended,2076.73,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH6165,"Chandran, Dey And Dalal",5699,Apparel,Private Limited,Delhi,Delhi,2025-08-29,CFEB4939576870397,Active,1513.56,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7850,Reddy Inc,5699,Apparel,Partnership,Chennai,Tamil Nadu,2024-05-16,,Active,0.1378,Unique,present,MISSING,PROVIDED,PROVIDED
MCH4228,"Singhal, Bhasin And Kaul",5699,Apparel,Private Limited,Amritsar,Punjab,2025-05-23,6707310647,Active,896.57,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH7344,Rama Shukla,5699,Apparel,Sole Proprietorship,Hyderabad,Telangana,2023-10-11,,Active,1447.45,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH4096,Raman Inc,5699,Apparel,Private Limited,Chennai,Tamil Nadu,,6736501272,Active,0.2014,Found Duplicate,missing,VALID_NUMERIC,PROVIDED,PROVIDED
MCH9276,Trivedi Kunda,5699,Apparel,Individual,Delhi,Delhi,2025-12-31,XXXX9182,Inactive,2310.01,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH8490,Sekhon Chadha,5699,Apparel,Sole Proprietorship,Delhi,Delhi,2024-06-28,XXXX6195,Inactive,694.05,Unique,present,MASKED,PROVIDED,PROVIDED
MCH7289,Nayar Dara,5699,Apparel,Individual,Pune,Maharashtra,2025-12-28,AFIS6620860774027,Active,0.451,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH8427,"Hegde, Bajaj And Sura",5699,Apparel,Partnership,Jalandhar,Punjab,2024-10-07,,Active,557.6,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6131,"Dhar, Dada And Bakshi",5699,Apparel,Partnership,Bengaluru,Karnataka,2024-03-10,4600930161,Inactive,0.1921,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH1515,"Mall, Kara And Sastry",5699,Apparel,Partnership,Hyderabad,Telangana,2024-07-19,9073071658,Active,1036.37,Unique,present,VALID_NUMERIC,PROVIDED,MISSING_OR_INVALID
MCH7190,Som Kibe,5699,Apparel,Private Limited,Lucknow,Uttar Pradesh,2023-04-09,,Active,2254.41,Unique,present,MISSING,PROVIDED,PROVIDED
MCH9811,Natarajan Goswami,5699,Apparel,Partnership,Mumbay,Maharashtra,2023-08-24,,Active,5908.31,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH5367,Reddy Chakraborty,5699,Apparel,Sole Proprietorship,Mumbai,Maharashtra,2025-03-01,WHOV7357855523116,Active,1679.09,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH9785,Nagarajan Plc,5699,Apparel,Individual,Mumbai,Maharashtra,2025-06-08,,Active,2709.78,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH7636,Bir Plc,5699,Apparel,Sole Proprietorship,Jalandhar,Punjab,2025-03-05,XXXX9076,Active,0.178,Unique,present,MASKED,PROVIDED,PROVIDED
MCH8918,Solanki And Sons,5699,Apparel,Private Limited,Bengaluru,Karnataka,2025-05-17,ITGT2090730500760,Active,1036.37,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,MISSING_OR_INVALID
MCH2704,Sengupta Sarin,5699,Apparel,Private Limited,Pune,Maharashtra,2023-03-08,TSWF3138170868556,Active,2593.67,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
