user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR 37121,Bhavika Thaker,MKYUT 2802 M,015496732243,29/07/1983,BLR,Karnataka,"INR 31,824",Self Employed,16/02/2025,Verified,LOW
usr_64308,Vedant Lalla,,8439-3768-1323,13/02/1990,Calcutta,West Bengal,10907,Retired,2026/03/08,V,medium
USR13880,Krisha Borra,YWBSY7212H,,23/09/2003,HYDERABAD,Telangana,"INR 21,188",Farmer,1719640264,Verified,LOW
USR56830,Ekapad Dalal,FPHDL6481K,7446-9847-1442,12-23-1960,jaipur,Rajasthan,22808,Business Owner,1733423310,Verified,HIGH
USR95322,Advik Sahota,QEHZG5598Z,738867861215,149330544,Calcutta,West Bengal,35085,Farmer,03/12/2024,Verified,High
USR23760,Saksham Dave,XSGLB7836O,982003027776,2003-10-20 16:41:57,lucknow,Uttar Pradesh,-28593,Gig Worker,2024/04/07,KYC_DONE,medium
USR28092,JACK LANKA,VANEO 2162 B,995050559108,14/09/1990,Dilli,Delhi,47900,Freelancer,12-27-2024,APPROVED,low
usr_41268,  Onkar Ratta  ,MTPRE0507U,095974642287,08-28-2006,Jalandar,Punjab,35166,Retired,08/09/2024,IN_PROGRESS,LOW
USR61809,Arjun Chander,JAWRM6042P,432985168205,560746453,Lucknow,Uttar Pradesh,"Rs. 13,796",Freelancer,1753923895,VERIFIED,low
86464,Tanay Sinha,hcucz8229x,4466 8771 6426,1985-12-29 21:02:19,LDH,Punjab,"₹12,686",Business Owner,2026/01/05,V,MEDIUM
USR29929,Yamini Kade,BZKKN4437J,025396904187,1978/02/20,Lucknow,Uttar Pradesh,-42360,Business Owner,09-16-2025,Under Review,LOW
USR 75086,Caleb Mammen,JVXFL4848V,5605 4506 7480,2003/08/30,LDH,Punjab,47.6k,Farmer,04/11/2025 09:28 PM,P,Unknown
USR-78743,AtharvLall,GUHZF 2370 F,9828 5621 0452,04-22-1970,Jaipur,Rajasthan,"₹18,539",Self Employed,12-24-2024,Pending,LOW
USR59316,Prisha Chander,XHBKR5403M,534910368969,1994/02/03,ludhiana,Punjab,13.3k,Unemployed,03-07-2026,VERIFIED,LOW
USR90387,  Aarna Devi  ,TFWBR0265R,,02-Jul-1988,JPR,Rajasthan,"INR 24,127",Business Owner,2025/12/24,VERIFIED,Low
USR18776,Pushti Sha,OGVKP 1291 Y,,08-08-1966,Hyd,Telangana,,Student,2025/09/05,APPROVED,Low
USR13953,  Mugdha Thaker  ,GJIRE9459M,851299154050,11-Feb-1997,amritsar,Punjab,23495,Self Employed,17/04/2025,KYC_DONE,low
usr33108,Ekavir Bal,cinip4289d,866127906399,18/09/1979 10:30 AM,Bengaluru,Karnataka,-19266,Freelancer,03-02-2024,KYC_DONE,Low
USR71267,noah wable,WVMOD 0360 T,497610284249,1964-04-14 17:35:56,Bangalore,Karnataka,20388,Student,06-04-2025,Done,Low
USR82470,Owen Nair,DPRST6843S,6455 7889 1743,30/07/1972,pune,Maharashtra,35891,Farmer,2025/06/25,Pending,MEDIUM
USR91477,Ojas Kumer,AXMWY 7954 C,931168320493,08/03/1961 12:28 AM,LDH,Punjab,"Rs. 28,545",Unemployed,25-Mar-2026,VERIFIED,low
USR 86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10 02:43:51,Pune,Maharashtra,"Rs. 37,338",Student,04-02-2024,KYC_DONE,LOW
USR-23635,Tanmayi Sunder,DRXCQ2579G,7963 0636 6826,769826146,Lucknow,Uttar Pradesh,20317,Gig Worker,1723131014,VERIFIED,Medium
USR63684,Vasana Naidu,FYYYZ4211T,4139 2819 5585,04-11-1974,jalandhar,Punjab,39085,Freelancer,2025-11-30 20:37:22,APPROVED,low
USR40151,Lipika Pant,ZCYWL1620R,4596-0750-4259,2004-11-12 14:21:56,jalandhar,Punjab,"₹13,296",Student,,Done,Low
USR60198,Nihal Sunder,GMKIH3940L,1672-2212-2123,04/06/1992 11:00 AM,Bengaluru,Karnataka,39252,Student,17/07/2025,Verified,low
USR77081,  Ethan Dora  ,BZDWK4883M,394394089450,03/01/1963 07:46 PM,LKO,Uttar Pradesh,31508,Unemployed,2024-10-22 10:15:48,VERIFIED,HIGH
USR84077,Neelima Sem,DKNSH2914F,810082123328,28/12/1980,Ludhiana,Punjab,27515,Self Employed,2025/06/11,KYC_DONE,medium
USR 59175,Ansh Virk,ambpc6856j,4006 8334 6413,27/03/1972 08:01 PM,MUMBAI,Maharashtra,16030,Student,02-13-2025,VERIFIED,medium
USR-64276,Upasna Subramanian,OPVCG1908W,024162763322,01/09/1974,Lucknow,Uttar Pradesh,19115,Farmer,2025/03/24,V,UNKNOWN
USR-64768,Warda Bhasin,DJJZS1635L,137833448545,-160078671,Mumbai,Maharashtra,32936,Self Employed,2026/02/22,V,Unknown
USR16446,Yagnesh Roy,QPZXB2641,,09-19-1997,Chennai,Tamil Nadu,,Salaried,08-29-2025,Done,high
USR22470,Ubika Saraf,GEZXL-8319-T,385691746808,1985/04/21,Bangalore,Karnataka,"Rs. 12,941",Student,27/08/2024 07:40 AM,Rejected,MEDIUM
USR78907,Garima Sangha,NTGKP6262I,XXXX-XXXX-3516,1977-09-14 08:11:37,Amritsar,Punjab,"INR 14,527",Salaried,,PENDING,low
USR55616,Jasmit Nadkarni,EGCOO2505G,0738 3587 8098,04-02-1993,Bengaluru,Karnataka,17065,Retired,2025/08/22,Verified,LOW
USR11988,Udarsh Khalsa,RWL1L9015J,005370369333,08-Sep-1973,Bangalore,Karnataka,57849,Self Employed,03-10-2026,VERIFIED,Low
USR78571,GautamiSanghvi,PXLGX1420K,497306999651,18-Oct-1977,Amritsar,Punjab,25062,Student,20/05/2024 04:14 PM,Verified,low
USR26915,AARNA DESHMUKH,VVYMS8300C,411377608777,1127679632,chennai,Tamil Nadu,-23328,Unemployed,09/06/2024,Verified,LOW
USR71883,amara oak,OWXKX2821C,619501763518,1995-09-09 15:52:56,bengaluru,Karnataka,"INR 22,743",Retired,2025/04/30,REJECTED,Medium
USR67037,Lucky Konda,CRHRQ9787A,8924 6694 1914,1991/12/26,lucknow,Uttar Pradesh,18960,Business Owner,2024-08-28 09:57:39,APPROVED,low
USR28669,GEORGE DAR,qlrnp1618y,2178202165,01/04/1978,Mumbay,Maharashtra,"INR 24,646",Self Employed,1707584602,Rejected,Medium
USR74087,Qarin Sengupta,TGCGN 4731 B,507933608333,26/01/1987,ASR,Punjab,11942,Salaried,15/01/2026 05:56 AM,V,Medium
97475,BIMALA RAO,ZWIEO8960X,581975734236,1977-04-08 12:26:05,Hyd,Telangana,,Farmer,26/03/2024,Done,LOW
USR29005,Wazir Ghose,SVTQR6809M,480853410333,19-Dec-1993,New Delhi,Delhi,"INR 14,463",Student,12-Mar-2024,APPROVED,LOW
USR 78059,Vasana Palla,CALNW0586S,754746798970,27/04/1991,MUMBAI,Maharashtra,29828,Farmer,23/11/2024,Done,low
USR15644,Anita Balay,VZJON4073W,1702 0376 5815,1994/05/12,BLR,Karnataka,Not Available,Unemployed,11/03/2025,Verified,Medium
USR53776,Advaith Sur,ORRQC4341P,936833471186,16/08/1980,Amritsar,Punjab,29723,Gig Worker,04/10/2024,P,low
USR35738,Nachiket Saini,MPBCY 9061 Z,2927 1878 2869,1982-06-19 02:07:43,LDH,Punjab,9263,Retired,24/04/2025,REJECTED,LOW
USR30688,Pooja Koshy,yvqmb3903y,375014980195,,Jaipur,Rajasthan,55299,Salaried,2025-05-12 21:33:30,APPROVED,LOW
43692,Kashvi Bal,XCBFC3495G,0224-5644-9188,82796753,HYDERABAD,Telangana,26181,Retired,30/05/2024,V,Low
usr_13931,VRINDA SODHI,JAXKB7158R,232101145647,10/03/1994 06:26 PM,Jalandhar,Punjab,"INR 13,080",Salaried,,Done,HIGH
USR 16890,UnniPurohit,SRFPG 7183 S,128864682279,1997/12/05,LKO,Uttar Pradesh,19516,Farmer,01/04/2024 12:10 PM,APPROVED,medium
USR60800,benjamin hayre,SKOEK2388A,XXXX-XXXX-6470,,jalandhar,Punjab,-30797,Farmer,2024-03-23 05:13:33,Verified,MEDIUM
USR43778,Megha Saran,FBYVC9113B,2525-9504-2768,1995-01-26 17:14:51,LDH,Punjab,27468,Student,11-Aug-2024,V,MEDIUM
USR70695,Darsh Rana,HOHLD1406O,6634-7061-6081,13/05/1986,bengaluru,Karnataka,"₹32,215",Business Owner,16/06/2024,FAILED,Low
usr82121,Maanas Kumar,PHLMO0100D,3070-9323-8655,15/06/2000,Mumbai,Maharashtra,"₹50,644",Student,19-Apr-2024,V,Low
USR28535,Laban Sinha,RFMPF-5305-S,XXXX-XXXX-3078,28/11/1998 03:44 PM,Pune,Maharashtra,"₹23,001",Retired,2024-12-31 23:15:38,Under Review,MEDIUM
USR61312,Manbir Kar,OYDNZ6406F,5451-2692-1501,03-19-2005,Hyderabad,Telangana,-43301,Farmer,04-Feb-2025,REJECTED,LOW
usr17743,Sneha Palan,HXELE7376C,012024085465,22-Sep-1986,kolkata,West Bengal,30964,Student,07-02-2025,APPROVED,low
USR 75869,  Triya Sodhi  ,KUCXN4426K,5985 2349 7392,16-Sep-1999,amritsar,Punjab,"₹17,400",Salaried,11/03/2024,Under Review,MEDIUM
USR88971,Aahana Goda,KAPYK2586P,815430708070,19/08/1963,amritsar,Punjab,8961,Student,2025-03-06 04:52:16,APPROVED,Medium
USR25394,Urmi Dar,WDKKW7243D,,17/11/1983,pune,Maharashtra,39353,Retired,03-23-2025,KYC_DONE,MEDIUM
USR-36110,Bhavya D0shi,ZZLBX3053J,7749-4636-1922,29/07/1979,pune,Maharashtra,Not Available,Freelancer,15/11/2025,V,low
USR28927,chandran nori,MIAZT7616U,,945611375,Hyd,Telangana,34414,Unemployed,11-29-2024,Verified,Medium
USR12524,Yauvani Deep,QGIWK2792H,2792 9245 2932,1985/01/24,Pune,Maharashtra,"Rs. 34,793",Unemployed,28/03/2024 12:45 PM,IN_PROGRESS,medium
USR87061,Zayyan Parmar,OESTV5644M,4212-4913-5042,03/02/1994,BLR,Karnataka,34016,Retired,01-15-2024,R,Low
usr_70121,Manan Kala,,4917 3489 3582,2003-05-16 10:59:20,ASR,Punjab,12490,Gig Worker,04/01/2025 01:18 PM,KYC_DONE,UNKNOWN
USR43558,Bhavya Kala,FMZBB8469X,0416 1497 8824,29-Apr-2005,kolkata,West Bengal,-26339,Student,25/02/2026 06:03 PM,V,UNKNOWN
usr_97255,Hardik Varty,IKVCL9739N,018969410775,07/09/1985,Bengaluru,Karnataka,Not Available,Salaried,2024-08-23 10:00:42,Under Review,LOW
USR41850,Anamika Jayaraman,ZWSDQ5958Z,366997497248,19-Nov-2004,pune,Maharashtra,-22599,Unemployed,2024-03-27 02:50:53,APPROVED,LOW
USR61425,Rajata Panchal,FDJQL-7637-C,252492316041,1987/11/27,ASR,Punjab,25830,Farmer,02-26-2025,Done,low
USR11654,Shivansh Dhar,VJCFR9167X,9314952508,23/03/1986,lucknow,Uttar Pradesh,19879,Business Owner,05/02/2024,VERIFIED,low
USR60435,Manan Desai,CZDOZ-3023-Y,9332847770,1971/11/14,lucknow,Uttar Pradesh,13.1k,Self Employed,20/05/2025,PENDING,LOW
USR-69566,Pooja Sanghvi,KKXGH 7093 M,594632399328,,mumbai,Maharashtra,"Rs. 40,871",Gig Worker,30/01/2024 08:55 PM,VERIFIED,LOW
usr_97911,aarush hora,UJAKN-1892-R,8898-0010-6898,1974/09/25,BLR,Karnataka,23895,Freelancer,09-17-2025,VERIFIED,LOW
USR96415,Aadi Batta,JYKPY8685U,801249909011,10/05/1975,Bangalore,Karnataka,"₹16,142",Gig Worker,2024/08/20,APPROVED,MEDIUM
USR41370,Lajita Mammen,TCFIS9755D,047045008750,1969/05/19,Ludhiana,Punjab,"₹74,744",Farmer,04-06-2024,VERIFIED,medium
USR46200,Bakhshi Sah0ta,WALTW7577C,201060880121,04/10/2001,Hyderabad,Telangana,24694,Gig Worker,2024/07/26,V,LOW
USR30125,Dakshesh Dhaliwal,AFYDX3604O,3180021621456,05-Feb-1993,JPR,Rajasthan,"₹22,236",Business Owner,,Rejected,LOW
usr51640,Hitesh Raj,UCIYS7654M,7526190276,27/12/1997 06:30 PM,Mumbai,Maharashtra,65510,Business Owner,07-May-2025,R,low
USR26148,Tarak Butala,LSMZC5449O,594773990154,07/08/1988,Bangalore,Karnataka,30461,Salaried,,V,HIGH
USR72127,  Turvi Grover  ,CQVNW6926I,192610278127,1989-04-19 03:38:20,Jaipur,Rajasthan,"INR 15,633",Retired,2024-08-03 00:38:25,VERIFIED,medium
USR96477,TANVEER NARULA,SDAVW9214Z,097914045328,15/07/1972 04:27 PM,Chennai,Tamil Nadu,14759,Retired,2026/01/27,Reject,low
USR-18944,Mekhala Golla,UWTIE0098,8850 3677 7734,25/07/1991 08:59 AM,Madras,Tamil Nadu,"₹26,904",Farmer,,APPROVED,Low
usr38760,Lajita Dewan,IRKEM1603,604812343829,09/08/1962,kolkata,West Bengal,9392,Salaried,22/03/2025,Verified,LOW
USR-35147,  Krishna Deo  ,HWFFO1057B,517870181300,11-24-1973,LDH,Punjab,50039,Salaried,04/01/2026,Verified,High
usr23153,Elijah Golla,RCL1Y8260J,XXXX-XXXX-4291,05-23-1997,Jalandar,Punjab,"Rs. 25,280",Salaried,19-Aug-2024,FAILED,low
USR43985,Elijah Basu,OWYWO4172Z,XXXX-XXXX-4334,29/11/2001 04:05 AM,Jaipur,Rajasthan,,Farmer,19/08/2025,VERIFIED,medium
usr13270,Gautam Joshi,KNUKD8690E,,1961-02-02 04:46:15,Poona,Maharashtra,17781,Self Employed,,Done,MEDIUM
usr_87067,Ayaan Bhatt,IYPWZ2082B,073336789186,06/03/1997 11:09 PM,bengaluru,Karnataka,32.3k,Farmer,1734165094,KYC_DONE,medium
USR14736,Harini Keer,SQFFV1099G,9008-4521-3060,1969/07/11,MUMBAI,Maharashtra,29346,Retired,,V,medium
USR26503,Ranbir Mannan,UCYSG5949W,445635673241,02-08-2006,ASR,Punjab,9785,Farmer,1753449242,P,LOW
USR55516,Yutika Ravi,HCPGG 8914 B,919840435976,1973-06-03 17:15:44,Kolkata,West Bengal,37564,Unemployed,10-30-2024,PENDING,LOW
usr45907,Hardik Ramesh,GUXKU9088P,6253 9431 9187,22-Jul-1970,delhi,Delhi,,Gig Worker,16/08/2025,VERIFIED,Medium
USR20548,Wridesh Joshi,TZSQX 5220 Z,031743351796,12-May-2007,mumbai,Maharashtra,31338,Student,2025/10/01,Verified,Low
USR37307,Balendra Verma,UOHEX6486E,XXXX-XXXX-5396,2001-07-17 07:20:05,DELHI,Delhi,37243,Unemployed,2025/07/28,Verified,MEDIUM
USR 63941,  Lopa Shanker  ,TIVNP2437G,4749 3829 2882,1975-04-08 18:00:48,Jaipur,Rajasthan,18089,Student,2025-07-12 11:33:35,Pending,MEDIUM
USR62335,0rinder Tiwari,kviyf7177s,XXXX-XXXX-5008,1967-11-21 19:55:24,Poona,Maharashtra,15492,Student,08/07/2024,VERIFIED,medium
USR82534,Ekalinga Deep,QMKMZ5656K,,1991/01/11,BLR,Karnataka,"₹22,070",Student,22/04/2025 09:24 PM,Verified,low
USR28153,Janaki Korpal,AHFWQ6201Q,,06-16-1974,Mumbai,Maharashtra,"Rs. 11,531",Freelancer,1737026345,VERIFIED,LOW
USR-97134,Reva Vaidya,HBVQA7004Y,6537223345,05-10-1964,LDH,Punjab,55126,Freelancer,01-07-2025,Under Review,MEDIUM
usr31953,ekani kar,KRJBG3843A,316943402972,2002/08/16,jaipur,Rajasthan,Not Available,Unemployed,1722895870,V,MEDIUM
USR18418,Vrishti Chaudry,QRINM1863X,1797 2382 4180,08-Jan-1987,kolkata,West Bengal,56033,Student,04/12/2025,Verified,HIGH
USR73856,Damini Atwal,0WYDK8338N,3904 1124 9547,07-May-1980,Chennai,Tamil Nadu,36.1k,Unemployed,2025/06/10,VERIFIED,medium
USR34047,Nirja Goyal,edjfv6786z,3542 8425 2681,37854888,Madras,Tamil Nadu,51334,Freelancer,21/04/2025,APPROVED,High
USR11358,Ria Sampath,CBDMJ0910P,7604-0343-2642,2003/10/11,ludhiana,Punjab,103450,Business Owner,,Verified,LOW
USR64107,Gauri Vora,YBWWC3453,870429928177,30/06/1970,Poona,Maharashtra,12867,Salaried,23/01/2025 02:49 AM,Verified,low
usr35594,Indira Ramachandran,EGAVG3762P,,1962-04-28 08:43:20,chennai,Tamil Nadu,19286,Farmer,19/08/2024,APPROVED,Medium
USR30418,Akshay Sampath,WNKPD6528H,1319 0288 3486,23/01/1965,LKO,Uttar Pradesh,17322,Unemployed,15/09/2024 08:50 PM,Verified,Low
USR54584,CHAMELI DUBEY,CZJQV 2137 R,4247-0274-2867,994588344,Mumbai,Maharashtra,22185,Self Employed,2024/09/01,APPROVED,LOW
USR48110,Brinda Manda,RYYOT8872F,2826-3099-6872,03-17-1964,amritsar,Punjab,21983,Business Owner,,VERIFIED,HIGH
USR95700,deepa bhalla,RTWID-8017-S,4748 0382 9105,09-12-1991,Amritsar,Punjab,33200,Business Owner,06/08/2025 08:22 AM,KYC_DONE,LOW
USR78337,Pranit Oza,NZBEB2190H,6181-5079-5338,02-Dec-1988,lucknow,Uttar Pradesh,22457,Gig Worker,24/07/2024,Verified,Medium
USR55461,UnnatiKeer,fqvdc8747o,373868774560,11-25-2001,Jalandhar,Punjab,28.6k,Business Owner,10-Jul-2025,REJECTED,low
USR99445,Krisha Seshadri,HFMYY3894Z,769553266511,17-Sep-2001,New Delhi,Delhi,48549,Business Owner,2024/01/19,KYC_DONE,Medium
USR-26939,SamuelMitter,KIWOV8722C,633005029504,1998/12/04,Amritsar,Punjab,24.1k,Retired,06/02/2026,KYC_DONE,HIGH
usr65086,Shivansh Prasad,MRRMZ0743S,0984809036,1962-03-10 20:30:53,ludhiana,Punjab,"INR 20,739",Freelancer,2024-07-06 03:48:49,Rejected,low
USR51330,Manya Bali,SKOUH9200Y,0199 5109 9623,10-30-1972,Pune,Maharashtra,"INR 30,214",Student,1762292944,Done,LOW
USR34172,  Faras Warrior  ,zwocq9001i,054598187074,10/05/2001 03:54 PM,Mumbay,Maharashtra,"Rs. 14,529",Self Employed,2025/09/16,KYC_DONE,medium
usr35378,  Ishita Mane  ,LZRJS8644Y,,1981-01-26 18:18:29,Jalandar,Punjab,,Retired,2025/01/01,KYC_DONE,medium
USR28471,Umang Kumer,lbeye6919s,XXXX-XXXX-2199,1991-02-13 05:37:51,jaipur,Rajasthan,"Rs. 13,774",Freelancer,11-11-2025,Done,Medium
65406,Bhavini Solanki,JVEIG3097A,088850972945,11/08/1960,Jaipur,Rajasthan,20271,Unemployed,,Under Review,low
usr16212,sanya sawhney,TBUDL4683R,2049-4975-1167,23-Jul-2001,kolkata,West Bengal,"₹13,924",Freelancer,2024-09-22 17:09:54,VERIFIED,medium
usr60904,Suhani Oza,WYWQI1618A,519863482284,1996-03-21 15:32:20,LDH,Punjab,-64722,Self Employed,2026/03/31,KYC_DONE,LOW
USR68308,Sim0n Ramanathan,LQESD-0778-U,755842264622,17/10/2005,Delhi,Delhi,22653,Gig Worker,15/02/2025,Verified,Medium
USR 73563,Unnati Kala,MFVPE2019P,5455534227,19-Jun-1969,Mumbai,Maharashtra,24.1k,Freelancer,,IN_PROGRESS,LOW
USR70255,Ekani Dua,ACUZI3478D,,157879628,chennai,Tamil Nadu,"₹25,961",Freelancer,19-Mar-2025,VERIFIED,medium
USR66657,  Shivansh Goda  ,TDJCU7352U,760680175158,10-Apr-1972,jaipur,Rajasthan,"INR 27,055",Student,26/09/2024 03:09 AM,APPROVED,LOW
usr50077,Fiyaz Sunder,SGQUO5647,236728535785,1962-05-11 03:54:34,Madras,Tamil Nadu,15682,Farmer,2024-11-28 18:59:06,Pending,LOW
USR81075,Ishani Naidu,LOLHX7170K,2571 0479 0985,17/02/2004,lucknow,Uttar Pradesh,40563,Unemployed,22/12/2024 11:51 PM,VERIFIED,HIGH
usr_93584,Neel Deo,AFBMT0794B,,08-21-1992,Mumbai,Maharashtra,"Rs. 46,356",Retired,1723220888,VERIFIED,LOW
USR88185,Vinaya Dora,KIYZN 4444 E,1952 3835 5149,12-13-1982,mumbai,Maharashtra,"INR 18,104",Farmer,02-Jul-2024,VERIFIED,LOW
USR79161,Liam Goyal,LYIMT9308V,816006457893,07-Dec-2001,lucknow,Uttar Pradesh,9335,Student,02-21-2026,IN_PROGRESS,unknown
USR50757,Barkha Parmer,UNJBD0770C,1806-6435-7027,11/11/1967,Chennai,Tamil Nadu,21395,Self Employed,23/01/2025,PENDING,low
USR10799,Indira Cheema,GCEYH8996T,0140 1454 1696,2004/08/04,lucknow,Uttar Pradesh,27782,Unemployed,28/12/2025,Pending,Medium
USR 88938,Jagat Kapoor,RCVDY9085U,691463251198,03-Feb-1994,chennai,Tamil Nadu,"Rs. 50,341",Freelancer,1754257479,APPROVED,MEDIUM
USR 22437,Samarth Saraf,KLAWR-0922-Q,0462-4856-6958,1978-01-24 06:46:13,amritsar,Punjab,-12976,Farmer,06-Jan-2024,Verified,medium
USR18684,Lipika Balasubramanian,UADKZ7560A,,28/07/1966,LDH,Punjab,16244,Business Owner,2026-02-11 02:43:34,IN_PROGRESS,LOW
USR54714,Yochana Nagy,OOSCD5853V,8210690985312,01-Mar-1993,Chennai,Tamil Nadu,"INR 27,270",Unemployed,12-16-2024,APPROVED,MEDIUM
USR46227,Vyanjana Dewan,FLWTU6763C,1814-2143-7210,19-Feb-1982,Jalandar,Punjab,29239,Freelancer,27/12/2024 08:02 PM,APPROVED,Low
USR 92736,Krish Ganesh,BCYTK-0743-V,7313993347443,04-01-2006,pune,Maharashtra,"INR 19,462",Gig Worker,,Verified,LOW
68243,Farhan Sarma,qdgqv8153t,8282630682,1963/11/14,Calcutta,West Bengal,15953,Farmer,2025-12-01 02:10:39,Verified,LOW
USR 54662,Kalpit Johal,WSIZM8377T,2280465136145,1104931901,chennai,Tamil Nadu,69040,Gig Worker,,VERIFIED,low
USR49692,Pranav Ahuja,KNWTL7986M,366181592977,1988/03/31,LKO,Uttar Pradesh,"₹78,295",Farmer,2025/01/07,Done,High
78411,Rehaan Singhal,LVAXX6013A,652002839194,1965-12-26 23:34:29,Jalandar,Punjab,40100,Salaried,02-Oct-2025,Verified,high
USR45168,David Sachdeva,JKJJV1240S,041915466352,1979-01-11 12:53:09,LKO,Uttar Pradesh,9179,Unemployed,03/04/2024,V,LOW
USR57891,Timothy Doctor,dlbxf6631f,078337974416,1966-10-02 09:25:38,lucknow,Uttar Pradesh,22369,Self Employed,11-05-2025,V,low
USR33040,Gayathri Jani,OVLVS3825H,5866 8530 2431,1041546565,New Delhi,Delhi,"₹21,830",Student,1731793316,Done,Medium
USR45432,Yauvani Krishna,JSLID1691H,027372290104,,Poona,Maharashtra,44208,Freelancer,2026/02/14,Under Review,low
USR88242,Warinder Keer,GRFUD 3392 U,XXXX-XXXX-0308,06-05-1975,Kolkata,West Bengal,33405,Retired,2024/11/10,APPROVED,Low
USR24490,  Chandran Rajagopal  ,WEERX9254V,741184421122,06-17-1990,jalandhar,Punjab,28953,Freelancer,2025-11-14 01:38:15,KYC_DONE,Medium
USR71493,eta shukla,zxndj8595b,026817430613,2001/05/10,Pune,Maharashtra,14758,Farmer,09-Jun-2025,Rejected,Low
USR74942,Anamika Bora,CVTXW4518J,495888415507,1980-05-24 06:20:19,Hyd,Telangana,,Retired,2025/04/05,VERIFIED,Low
