merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
mch4962,venkataraman-mannan,5942,Books,private_limited,Chennai,Tamil Nadu,1752559334,8238766790,Live,₹266.61
MCH1541,Bhattacharyya-Hans,MCC-7011,Hotels,PRIVATE-LIMITED,kolkata,West Bengal,2024/03/24,XXXX2848,Enabled,₹621.01
mch3442,Kuruvilla Ltd,5411,Grocery,partnership,Hyd,Telangana,11-04-2023,NA,Disabled,1281.68
MCH 9993,Chadha-Tailor,5942,Book Store,private_limited,Ludhiana,Punjab,05-Jan-2026,,Inactive,2368.65
8365,Som-Dhar,5999,Misc Retail,individual,pune,Maharashtra,30/08/2025,,Live,269.48
MCH-2536,  Divan-Radhakrishnan  ,4131,transprt,PRIVATE-LIMITED,Poona,Maharashtra,09-Jul-2025,NWSY9894058484946,Live,
MCH6777,LALL-DATE,5411,groceries,PARTNERSHIP,LKO,Uttar Pradesh,2023-12-20 14:05:11,XXXX6676,Enabled,1143.87
MCH8152,chaudhari plc,5912.0,Pharmacy,SOLE-PROPRIETOR,Jalandhar,Punjab,24/07/2023 08:56 PM,NA,Active,"INR 1,648.01"
MCH 2665,"  Arora, Bir and Mahal  ",5311,Retail,SOLE_PROPRIETOR,LKO,Uttar Pradesh,15/11/2024 08:23 PM,3459659161,Inactive,"INR 2,101.74"
MCH1384,THAKUR-BEN,4814,Telecom,INDIVIDUAL,Hyderabad,Telangana,2023/11/04,,Live,"₹1,433.16"
MCH-4729,parmer-kulkarni,5311,DEPT_STORE,INDIVIDUAL,Bangalore,Karnataka,03/09/2023 03:34 PM,NA,A,"INR 1,384.93"
mch6326,"Barad,MurtyandTella",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,chennai,Tamil Nadu,22/06/2024 06:08 PM,LQXK9607455160094,Enabled,-671.62
MCH5563,"Dubey, Wali and Yadav",,garments,sole_proprietor,kolkata,West Bengal,01-28-2024,5163059320,ACTIVE,"Rs. 2,198"
MCH3063,Bansal Inc,04131,Transport,INDIVIDUAL,JPR,Rajasthan,2025/07/02,NA,I,282.67
MCH7974,"Verma, Koshy and Bhardwaj",5411,GROCERY_STORE,individual,Jaipur,Rajasthan,04-Oct-2023,7985944544,Enabled,460.5
MCH5575,  Sandal LLC  ,5411,kirana,partnership,Chennai,Tamil Nadu,13-Feb-2024,XXXX5528,A,"INR 5,255.72"
MCH7433,"Sahota, Desai and Sarma",5999,Misc Retail,INDIVIDUAL,pune,Maharashtra,24-Feb-2024,,A,₹867.14
MCH-1454,WableInc,5999,Misc Retail,INDIVIDUAL,Lucknow,Uttar Pradesh,2025/06/18,7787448001,Live,"Rs. 2,617"
MCH1331,"Garg, Bobal and Jain",MCC-4131,TRAVEL,individual,Calcutta,West Bengal,2024/06/29,,ACTIVE,3720.61
MCH1168,  Sekhon Inc  ,5411,Grocery,SOLE_PROPRIETOR,Hyd,Telangana,26/07/2025 09:06 PM,,Enabled,"Rs. 6,003"
MCH5283,"  Verma, Narasimhan and Balan  ",,Pharmacies,Individual,delhi,Delhi,05-Feb-2026,,INACTIVE,"Rs. 1,266"
MCH2698,KalaLLC,7011,hotel_lodging,individual,lucknow,Uttar Pradesh,08-19-2023,YXNF3515433387898,Inactive,"INR 3,590.19"
MCH6451,Chandran Group,5311,Department Store,INDIVIDUAL,Jalandar,Punjab,2025/10/07,5694147499,I,165.95
MCH2255,  Lal Ltd  ,5311,Department Stores,individual,JPR,Rajasthan,29/05/2023,6674150314,Live,"INR 1,404.67"
mch7312,Ramakrishnan-Banerjee,5311,Retail,sole_proprietor,mumbai,Maharashtra,24/02/2024 11:03 AM,CCCL8077324997121,Enabled,977.96
MCH8549,"Amb1e, Sangha and C0mar",4814,TELECOM,INDIVIDUAL,ludhiana,Punjab,12-Jan-2026,XXXX7799,Enabled,"INR 1,130.69"
MCH9784,lal ltd,05812,eating place,PARTNERSHIP,Madras,Tamil Nadu,28/12/2024 05:21 AM,XXXX3001,Enabled,1442.84
MCH5395,"Dada, Jani and Kaul",5942.0,Stationery,Partnership,Madras,Tamil Nadu,06-Mar-2025,,Live,-698.53
MCH6067,Chaw1a-Gangu1y,UNKNOWN,Hospitality,sole_proprietor,mumbai,Maharashtra,2025/12/03,FNQE1460028710860,Inactive,700.95
MCH4786,EDWIN PLC,5699,Clothing,INDIVIDUAL,Ludhiana,Punjab,15/12/2024,4903394968,Enabled,"3,435.22"
MCH3559,Chokshi Inc,5812.0,Food,private_limited,bengaluru,Karnataka,23/12/2024,XXXX5330,SUSPENDED,-535.7
MCH3955,"Swamy, Dhingra and Sheth",5311.0,Department Stores,Individual,Chennai,Tamil Nadu,25/11/2024,,SUSPENDED,Rs. 508
MCH3558,"Bhattacharyya, Mahal and Setty",4131,transprt,partnership,jaipur,Rajasthan,28-Jul-2023,7325110455,Enabled,4448.97
MCH2879,"Pillay, Vora and Karnik",MCC-5812,Restaurant,INDIVIDUAL,LDH,Punjab,2024-05-20 19:55:26,9486638654,ACTIVE,
MCH-3340,VARTY-CHOKSHI,5999,Miscellaneous,PARTNERSHIP,Chennai,Tamil Nadu,1680836570,,ACTIVE,311.76
MCH6403,"Sahni, Kapur and Ganesh",,CLOTHS,private_limited,Madras,Tamil Nadu,30-May-2024,NA,ACTIVE,₹344.49
MCH 3455,Singhal LLC,05311,Department Store,INDIVIDUAL,Jalandar,Punjab,06/01/2026 05:10 AM,,Active,11222.95
MCH8578,Bhatt LLC,4131,transprt,SOLE-PROPRIETOR,Poona,Maharashtra,26/08/2023 11:42 PM,QYMF1422119480722,Inactive,"₹2,462.04"
MCH4277,Chaudhry-Karpe,4131,Transportation,private_limited,ludhiana,Punjab,2023-11-09 07:01:01,NA,Enabled,-3362.42
MCH8716,"Naik, Chada and Divan",5999,Other,private_limited,LDH,Punjab,11-Jan-2023,EDPS0799008597487,Live,₹225.43
MCH 9697,Walla Ltd,NA,telecom,INDIVIDUAL,Bangalore,Karnataka,2025/07/21,NA,Live,"₹1,081.86"
1170,"Wali, Bala and Sanghvi",05311,Department Store,SOLE-PROPRIETOR,BLR,Karnataka,01/04/2023 03:30 PM,,INACTIVE,"₹1,109.65"
MCH8705,"Sahota, Kale and Patil",4131,transprt,Private Limited,delhi,Delhi,10-Nov-2024,XXXX9019,Enabled,1127.21
MCH6875,BUCH LTD,5912,chemist,Individual,LKO,Uttar Pradesh,02-07-2023,NA,ACTIVE,2704.27
MCH 5146,Wadhwa-Swamy,05311,Department Stores,partnership,Jalandhar,Punjab,05/11/2023,NA,A,
MCH7239,Tata-Hayer,7011,Hotel,INDIVIDUAL,Madras,Tamil Nadu,2025/06/09,MPZF9929757844428,ACTIVE,"INR 1,929.61"
MCH7925,BADAMI GROUP,7011,HOTEL_LODGING,Sole Proprietor,Hyderabad,Telangana,01-Jul-2023,IVGP0940394312057,Live,
MCH3625,Lall Inc,5699,Fashion,INDIVIDUAL,Kolkata,West Bengal,16-Jul-2023,8363629876,Disabled,691.1
MCH6999,srinivasan-agate,5812.0,eating place,partnership,Hyd,Telangana,22/02/2023 05:51 PM,,Live,"1,015.19"
MCH9868,"  Bedi, Konda and Kant  ",MCC-5912,MEDICAL_STORE,INDIVIDUAL,jaipur,Rajasthan,02/01/2023 06:58 AM,XXXX9285,Active,444.97
MCH5356,"Solanki, Kala and Loke",4814,Mobile Recharge,PARTNERSHIP,Hyderabad,Telangana,03/01/2023,TUAH3044152488223,A,-827.01
MCH 3953,"Ray, Minhas and Yohannan",5411,Grocery Stores,Sole Proprietor,kolkata,West Bengal,18-Mar-2023,XXXX6303,A,"INR 8,126.93"
MCH-3697,Cherian LLC,7011,Hotel,individual,Madras,Tamil Nadu,04/11/2023 01:30 PM,,Live,"INR 2,525.65"
MCH6046,"Palla, Yadav and Bhatnagar",5999,Other,INDIVIDUAL,Bengaluru,Karnataka,2024-03-27 20:41:48,,A,2396.76
MCH7759,"SANKARAN, PATEL AND NARAIN",5699,Apparel,sole_proprietor,Kolkata,West Bengal,2025-10-15 13:32:26,EADV1032511266518,Active,
MCH5657,Natt-Goel,5999,Miscellaneous,individual,Dilli,Delhi,,NA,Enabled,"Rs. 1,355"
MCH 2432,Parmar-Parmer,MCC-4131,Transportation,Individual,Calcutta,West Bengal,,NA,Enabled,"INR 2,557.63"
MCH5705,MUKHOPADHYAY AND SONS,5699,Apparel,sole_proprietor,jalandhar,Punjab,25/02/2025,NA,A,716.31
MCH1358,"CHAUDRY, BARAL AND MODI",4131,Transportation,INDIVIDUAL,Ludhiana,Punjab,07/06/2025,3312553110,Enabled,2115.38
MCH7337,NATH-NARAYAN,5699,CLOTHS,Individual,Hyd,Telangana,28-Jul-2024,,ACTIVE,"3,029.85"
MCH9319,LadInc,5699.0,garments,sole_proprietor,Jalandhar,Punjab,2025/07/20,XXXX7774,Enabled,839.54
MCH5354,Khatri-De0,05942,Book Store,PARTNERSHIP,Jalandar,Punjab,,WCZU4810286661084,Live,
MCH-6329,Srinivas-Banerjee,,MEDICAL_STORE,INDIVIDUAL,Kolkata,West Bengal,2024/05/12,XXXX2718,ACTIVE,199.46
mch3206,Ahuja-Din,5311,Retail,sole_proprietor,Hyderabad,Telangana,1768139454,XXXX4117,Active,"Rs. 1,244"
MCH 5632,  Tandon Ltd  ,05311,DEPT_STORE,sole_proprietor,Bangalore,Karnataka,2025-05-29 12:56:08,NA,Active,INR 270.52
MCH8355,"Virk, Sarna and Sangha",5812,Restaurants,INDIVIDUAL,Mumbai,Maharashtra,09-10-2023,0702210119,Active,"Rs. 3,279"
MCH3281,Ranganathan and Sons,5311,Retail,Partnership,kolkata,West Bengal,2024/03/01,XXXX9655,Enabled,-649.49
mch2978,Deshpande LLC,7011,Hospitality,private_limited,Lucknow,Uttar Pradesh,1675295851,XXXX0228,A,194.6
3399,Rana-Talwar,5912.0,MEDICAL_STORE,PRIVATE-LIMITED,mumbai,Maharashtra,2024-03-30 09:48:22,6585786984,ACTIVE,575.9
MCH7219,Dhawan-Saha,7011.0,HOTEL_LODGING,INDIVIDUAL,Dilli,Delhi,01-06-2026,HJFW5603026154965,Inactive,2354.94
MCH3757,Chokshi PLC,04814,TELECOM,Private Limited,Jaipur,Rajasthan,23/10/2025 10:04 AM,KUIQ2748561079701,ACTIVE,2492.69
MCH1214,Padmanabhan Gr0up,4814,TELECOM,individual,Amritsar,Punjab,24/08/2025,,Live,-362.46
MCH2249,Bahri-Nagarajan,7011,HOTEL_LODGING,SOLE_PROPRIETOR,Ludhiana,Punjab,11-17-2024,0364290572,Live,INR 590.80
MCH 9098,Manda and Sons,05812,Restaurants,PARTNERSHIP,bengaluru,Karnataka,2024-03-03 16:14:27,XXXX2826,Active,Rs. 870
MCH7932,SETHI LTD,4814.0,Telecom,Private Limited,Bengaluru,Karnataka,20/04/2025 10:28 PM,AUYT1495828220876,Active,4410.18
MCH1216,"Agarwal, Dave and Vala",7011,Hotels,SOLE-PROPRIETOR,chennai,Tamil Nadu,10-18-2024,NA,Active,2228.42
mch3497,"Gokhale, Parmer and Contractor",,Transport,INDIVIDUAL,jalandhar,Punjab,1699047591,,ACTIVE,-403.24
8517,"Bandi, Bir and Buch",5912,chemist,individual,Dilli,Delhi,2025/05/12,XXXX8958,Active,"INR 2,544.34"
MCH3567,Kala Ltd,MCC-4814,TELECOM,Sole Proprietor,amritsar,Punjab,15-May-2023,0120134197,Active,"INR 1,794.62"
MCH6890,Pandit-Narasimhan,7011,Hotel,private_limited,Calcutta,West Bengal,21/04/2024,XXXX8046,Closed,525.87
MCH6632,"  Om, Mall and Sandhu  ",UNKNOWN,Bus/Taxi,PARTNERSHIP,Lucknow,Uttar Pradesh,07-28-2023,XXXX3092,Hold,996.13
MCH7269,La11-Raman,4814,TELECOM,PRIVATE_LIMITED,LKO,Uttar Pradesh,2023-10-25 09:50:57,4846136502,Active,"1,031.92"
MCH4180,Dave-Oza,,BOOKS_STATIONERY,SOLE_PROPRIETOR,DELHI,Delhi,2024/01/08,,Active,394.99
MCH1492,"PANCHAL, BAIL AND NADKARNI",05912,Medical,sole_proprietor,Jaipur,Rajasthan,2024/07/05,NA,Hold,"6,674.02"
mch5210,NATARAJAN LLC,4131,transprt,PARTNERSHIP,Lucknow,Uttar Pradesh,2023/08/25,NA,Enabled,"₹2,522.68"
MCH6115,Padmanabhan-Chahal,misc,Retail,Private Limited,Bombay,Maharashtra,01/03/2024,XXXX5769,I,INR 266.65
MCH5950,Dey-Raj,5999,Retail Other,SOLE-PROPRIETOR,amritsar,Punjab,11-29-2025,0371217445,A,-3256.77
MCH3556,Andra-Nagar,5999,Misc Retail,Sole Proprietor,pune,Maharashtra,2025-05-04 18:43:19,NA,ACTIVE,"1,107.13"
MCH4842,Pa11a LLC,5942,Stationery,INDIVIDUAL,Calcutta,West Bengal,2024/12/19,XXXX0707,Live,"Rs. 3,127"
MCH6831,"Kothari, De and Arora",5999,Retail Other,Individual,Kolkata,West Bengal,17/11/2025 04:43 PM,FVLK6104664273261,SUSPENDED,
MCH2922,Chhabra-Jha,5999,Retail Other,sole_proprietor,Bombay,Maharashtra,2024/10/10,FAIS4263479017973,Enabled,-1096.49
MCH8509,"Majumdar, Deshpande and Solanki",5311,DEPT_STORE,PARTNERSHIP,BLR,Karnataka,09-17-2024,XXXX5135,I,-1098.85
mch3604,"  Shetty, Bali and Sama  ",5411,groceries,Partnership,Ludhiana,Punjab,1672794464,IQHJ3383226507557,A,Rs. 394
MCH9785,Nagarajan PLC,5699,CLOTHS,INDIVIDUAL,MUMBAI,Maharashtra,06/08/2025,,Enabled,"INR 2,709.78"
mch1447,"Dara, Om and Chaudhry",5699,garments,PRIVATE_LIMITED,Bangalore,Karnataka,29-Apr-2023,NJHB3866390601882,Disabled,Rs. 373
MCH7659,"Pandya, Bakshi and Chaudhary",4131,Transport,private_limited,Madras,Tamil Nadu,16/04/2023 06:19 PM,FNTE9764699509957,Active,"1,564.19"
MCH1600,"warrior, anand and kata",5311,Department Store,INDIVIDUAL,chennai,Tamil Nadu,07/10/2025,DNAN6947992423478,ACTIVE,"₹2,937.03"
MCH8561,Mahal-Talwar,5912.0,chemist,INDIVIDUAL,Poona,Maharashtra,21-Nov-2024,XXXX1106,A,INR 892.64
MCH4029,Kuruvilla and Sons,5411,Grocery Stores,PRIVATE-LIMITED,pune,Maharashtra,,DGMS6783095939908,A,INR 55.43
MCH1392,Johal-Gaba,05912,Medical,PRIVATE-LIMITED,pune,Maharashtra,02-20-2024,XXXX9354,INACTIVE,"4,352.70"
MCH4985,HAYRE AND SONS,5942,Books,Partnership,Lucknow,Uttar Pradesh,08-01-2023,PXAE0911368692866,Enabled,1981.89
MCH8808,"  Kothari, Bansal and Gupta  ",misc,Stationery,Individual,BLR,Karnataka,19/09/2025 01:30 AM,9868014892,A,Rs. 380
MCH7137,Krishna-Palan,4814,Telecom,Partnership,ludhiana,Punjab,29/09/2025,GJTY8331565779502,Enabled,
mch2813,"Sha, Bhatia and Vig",UNKNOWN,DEPT_STORE,INDIVIDUAL,chennai,Tamil Nadu,2024-10-24 13:37:28,5399147177,Active,"INR 3,821.16"
MCH1375,Golla and Sons,5912,Medical,PARTNERSHIP,Bengaluru,Karnataka,08/01/2023 01:43 PM,,Active,503.66
MCH2074,D’Alia Inc,05699,Fashion,partnership,jaipur,Rajasthan,1761162895,VRCT7941741947399,Enabled,"1,616.20"
MCH1256,Vala Inc,05912,MEDICAL_STORE,SOLE_PROPRIETOR,kolkata,West Bengal,17-Jan-2025,,Blocked,1415.24
8440,"Chacko, Natarajan and Menon",5999,Other,individual,Mumbai,Maharashtra,19/01/2025,,ACTIVE,₹775.41
MCH3060,Deep-Tata,5311,DEPT_STORE,INDIVIDUAL,ASR,Punjab,17-Apr-2023,NA,Enabled,-2601.81
MCH4025,  Hegde-Sule  ,5311,Retail,Individual,HYDERABAD,Telangana,,XXXX6804,INACTIVE,"₹1,108.29"
MCH6970,CHOPRA-LOKE,5311,Department Store,PARTNERSHIP,JPR,Rajasthan,02-13-2025,NA,Enabled,564.18
MCH 2850,  Reddy-Kara  ,4131,Bus/Taxi,Private Limited,jaipur,Rajasthan,22/04/2024,XXXX7186,Enabled,-953.86
mch5117,"Parikh, Sengupta and Chander",7011,Hotel,PARTNERSHIP,Chennai,Tamil Nadu,26/01/2023 11:39 PM,NA,Suspended,266.62
MCH-6651,"Mahajan, Vig and Balakrishnan",5411,groceries,Partnership,delhi,Delhi,02-17-2023,ZZEW6214809734757,A,1407.45
MCH6206,"Johal, Verma and Sane",5812,eating place,PRIVATE-LIMITED,Jalandhar,Punjab,2024-04-26 14:53:55,,Active,-765.75
MCH9755,"Mane, Dey and Nagy",MCC-7011,Hospitality,individual,Lucknow,Uttar Pradesh,09-05-2023,NA,Active,2207.77
MCH3401,chana llc,5411,Grocery Stores,INDIVIDUAL,Chennai,Tamil Nadu,,XXXX4048,ACTIVE,3703.23
MCH7698,SACHDEV AND SONS,MCC-5812,Restaurant,Sole Proprietor,Amritsar,Punjab,23-Jul-2023,NA,Enabled,
MCH2085,Loke Inc,7011.0,HOTEL_LODGING,INDIVIDUAL,HYDERABAD,Telangana,05/12/2023,CQUN5447672400868,Blocked,
mch1060,"Subramaniam, Rama and Contractor",4131,Transport,individual,HYDERABAD,Telangana,1714640414,FXHY9362967598468,Enabled,Rs. 480
MCH7876,"  Deshpande, Nagar and Parsa  ",misc,TELECOM,Individual,JPR,Rajasthan,2024/08/22,,Live,₹502.95
MCH9966,"  Kara, Chanda and Hayre  ",4131,Transportation,Individual,kolkata,West Bengal,16/01/2024 08:22 PM,XXXX6108,A,"₹3,566.37"
MCH2710,"Ramanathan, Bandi and Edwin",5411,Grocery Stores,sole_proprietor,New Delhi,Delhi,07-Nov-2024,9267399474,Active,5021.08
MCH2723,Purohit-Dani,,Food,Individual,ASR,Punjab,16/04/2024 04:10 AM,XXXX6527,Live,1384.67
mch6084,Gera-Patla,UNKNOWN,Bus/Taxi,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,26/01/2026 03:06 PM,0059005491,A,3360.46
MCH1457,Shetty Group,MCC-5999,Other,INDIVIDUAL,Jalandar,Punjab,11/07/2025,7979475554,ACTIVE,"INR 1,159.43"
MCH7866,Bhattacharyya and Sons,5311,Department Stores,Partnership,DELHI,Delhi,31/10/2025 05:29 AM,QKIU3712061004002,Active,"2,522.00"
MCH9528,Kibe-Memon,5699,Apparel,SOLE-PROPRIETOR,New Delhi,Delhi,07/12/2025,XXXX9874,ACTIVE,5399.84
MCH3612,Vaidya-Arya,5311,Retail,Private Limited,Kolkata,West Bengal,01/09/2023,UOBK5661273202199,Enabled,695.7
MCH3971,Sura PLC,7011,HOTEL_LODGING,INDIVIDUAL,Dilli,Delhi,2024-04-17 13:25:57,,A,₹748.82
MCH6025,Rege-Bali,MCC-4131,Transportation,Individual,Bengaluru,Karnataka,21-Apr-2025,XXXX0320,I,"INR 2,516.42"
MCH 6507,Kadakia PLC,5812,FOOD_SERVICES,PARTNERSHIP,chennai,Tamil Nadu,05-01-2023,XXXX3350,A,INR 740.55
mch8031,CHOKSHI LTD,7011,Hotels,individual,Hyd,Telangana,26/07/2025,3288481391,Enabled,2110.06
MCH8431,Bala Group,4131,Transportation,INDIVIDUAL,LDH,Punjab,02-May-2025,XXXX7030,Active,₹964.23
MCH9718,Mammen and Sons,5411,kirana,SOLE_PROPRIETOR,Jalandar,Punjab,06-20-2023,3331553891,Active,678.94
MCH 3058,Patla-Padmanabhan,5942,Books,individual,Pune,Maharashtra,2024/10/18,OBXD4944464643223,Enabled,974.77
MCH-8327,Men0n Ltd,,Miscellaneous,INDIVIDUAL,bengaluru,Karnataka,2023-06-18 18:05:34,,Disabled,"INR 1,670.04"
MCH9038,"Dara, Pai and Saxena",UNKNOWN,garments,Sole Proprietor,LDH,Punjab,04-18-2024,0739300438,Live,2740.86
MCH2412,Nadig Inc,5942,BOOKS_STATIONERY,Individual,Hyderabad,Telangana,2024-12-08 07:03:51,XXXX9581,Enabled,₹144.12
MCH2904,IYENGAR-COMAR,5999.0,Other,PRIVATE_LIMITED,delhi,Delhi,05/01/2026,XXXX7160,Active,1147.91
MCH5405,  Balan-Sabharwal  ,5812,Food,INDIVIDUAL,Bengaluru,Karnataka,1680850615,NA,ACTIVE,2280.95
MCH1625,HandaLLC,5912,MEDICAL_STORE,PRIVATE_LIMITED,ludhiana,Punjab,2024/07/27,NA,I,"₹4,123.17"
MCH3926,Master-Sarin,5999,Misc Retail,INDIVIDUAL,Hyderabad,Telangana,08/05/2025,,ACTIVE,"₹1,913.50"
MCH6979,Nadig Ltd,,chemist,sole_proprietor,Chennai,Tamil Nadu,2023-05-18 00:42:04,SYHI9438066539953,Inactive,640.32
MCH1842,Bedi-Vohra,5411,GROCERY_STORE,private_limited,Lucknow,Uttar Pradesh,,XXXX6666,Enabled,1241.96
MCH8130,"Kale, Kumer and Chand",,DEPT_STORE,Partnership,Ludhiana,Punjab,1770264224,GYEV9276514828192,Active,₹419.61
MCH1571,"Rao, Viswanathan and Joshi",MCC-4131,transprt,sole_proprietor,chennai,Tamil Nadu,1691037651,NA,A,866.2
mch9626,Gu1ati-Chhabra,4814,Telecom,partnership,Lucknow,Uttar Pradesh,1740143570,,A,Rs. 880
MCH2099,"tara, date and thakur",4131,transprt,SOLE_PROPRIETOR,Madras,Tamil Nadu,28/06/2023,BFBY2666613604973,Enabled,"INR 1,054.15"
MCH1841,Kadakia-Rao,,Hospitality,sole_proprietor,kolkata,West Bengal,07-01-2025,7706295964,ACTIVE,532.17
MCH7901,BALA GROUP,5812,Food,Partnership,Jaipur,Rajasthan,2023-03-02 12:07:59,VXJE9106968913579,Enabled,
MCH8607,"Wali,ManeandThakur",5699,Clothing,individual,New Delhi,Delhi,10-15-2023,XXXX4911,A,"Rs. 2,981"
MCH5570,"Sahni, Bala and Sharma",5999,Miscellaneous,individual,New Delhi,Delhi,2025-11-28 06:01:37,,Blocked,"₹1,506.33"
MCH5328,Dhaliwal Inc,5812,eating place,PRIVATE-LIMITED,kolkata,West Bengal,19/04/2025,,A,375.06
mch2408,"Kumar, Din and Sule",MCC-5999,Misc Retail,SOLE_PROPRIETOR,bengaluru,Karnataka,,NA,Enabled,-2001.55
MCH-9448,"  Sant, Manda and Khurana  ",,garments,partnership,Jalandhar,Punjab,10-08-2023,XXXX3103,Inactive,Rs. 522
MCH9463,Boase and Sons,5942,Books,PRIVATE_LIMITED,ASR,Punjab,1748793890,8867615299,Enabled,Rs. 835
5882,"Barad, Kara and Gokhale",misc,phone service,Sole Proprietor,Chennai,Tamil Nadu,25/09/2024,8200004171,Inactive,626.5
MCH5072,Shroff-Sangha,5999,Retail Other,PRIVATE-LIMITED,jaipur,Rajasthan,2024/12/08,XXXX4443,Active,3955.29
MCH2817,Keer and Sons,5999,Misc Retail,PRIVATE_LIMITED,Ludhiana,Punjab,05-19-2025,XXXX7166,Inactive,"₹2,074.28"
MCH7403,"Naik, Badami and Raj",5311,Department Store,SOLE_PROPRIETOR,Poona,Maharashtra,,NA,Enabled,"1,191.42"
MCH8984,Sharma Group,05812,Food,private_limited,ludhiana,Punjab,2023/06/21,NA,ACTIVE,590.58
MCH8915,Sur Ltd,5812,FOOD_SERVICES,INDIVIDUAL,Mumbay,Maharashtra,04/08/2025 09:08 PM,2079428373,Closed,665.18
