txn_id,timestamp,timestamp_status,user_id,merchant_id,amount,amount_status,utr,utr_status,mcc,mcc_status,status,full_name,pan,pan_status,aadhaar,aadhaar_status,date_of_birth,age_status,city,state,monthly_income,income_status,occupation,signup_timestamp,signup_date,account_age_days,signup_status,risk_segment,kyc_status,merchant_name,mcc_mer,merchant_category,business_type,city_mer,state_mer,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_category,onboarding_date_status,settlement_account_status,merchant_status_status,ticket_size_status,txn_id_clean,dispute_count,total_disputed_amount,latest_reported,top_reason_code,max_severity,is_kyc_linked,is_merchant_linked,is_disputed,mcc_derived,age,flag_amount_anomaly,flag_utr_invalid,flag_missing_utr_and_failed,flag_mcc_invalid,flag_kyc_doc_invalid,flag_kyc_doc_missing,flag_underage,flag_income_anomaly,flag_rejected_kyc_active,flag_under_review_kyc_active,flag_brand_new_account,flag_merchant_suspended,flag_merchant_status_unknown,flag_ticket_size_imputed,flag_amount_vs_ticket_mismatch,flag_high_severity_dispute,flag_unauthorized_reason,flag_disputed_amount_mismatch,flag_unlinked_kyc,flag_unlinked_merchant,txn_hour,txn_day_of_week,is_weekend,is_night_txn,flag_round_amount,signup_date_parsed,days_since_signup_at_txn,user_txn_count,user_total_volume,user_dispute_count,user_failed_count,user_distinct_merchants,user_max_single_txn,user_failed_rate,user_avg_amount,user_std_amount,user_amount_zscore,flag_amount_zscore_outlier,user_income_to_spend_ratio,flag_income_spend_mismatch,flag_new_account_high_volume,flag_invalid_kyc_high_volume,merchant_txn_count,merchant_total_volume,merchant_dispute_count,merchant_disputed_txn_count,merchant_chargeback_ratio,merchant_ratio_insufficient_sample,flag_merchant_above_category_median,category_txn_count,category_total_volume,category_dispute_count,category_chargeback_ratio,user_cycle_score,merchant_cycle_score,flag_count,fraud_risk_score,risk_tier
TXN00003797,2026-03-14 12:21:17,VALID,USR81003,MCH5292,13312.0,VALID,UTR2464640119,VALID,,MISSING,SUCCESS,,,,,,,,,,,,,,,,,,,Nori Dugal,5999.0,Other / Misc,Sole Proprietorship,Pune,Maharashtra,,DLCF1511984552623,Inactive,0.542,Found Duplicate,missing,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,12,5,True,False,False,,,1,13312.0,0.0,0,1,13312.0,0.0,13312.0,,,False,,False,False,False,2,25194.96,0.0,0,,True,False,1230.0,14529247.47,168.0,0.13658536585365855,0.0,0.0,1,0.027777777777777776,LOW
TXN00000092,2026-01-27 23:43:31,VALID,USR70687,MCH4523,17833.99,VALID,UTR5315091377,VALID,5411.0,VALID,SUCCESS,Omkaar Hari,MNCVO7624R,VALID,009995858080,VALID,1969-01-21,VALID,Mumbai,Maharashtra,14400.0,STANDARD_INCOME,Self Employed,19-Dec-2025,2025-12-19,268.0,DATE_ONLY,Medium,APPROVED,,,,,,,,,,,,,,,,,,,,,,True,False,False,0,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23,1,False,False,False,2025-12-19,39.0,1,17833.99,0.0,0,1,17833.99,0.0,17833.99,,,False,0.10320596064814816,False,False,False,3,32649.82,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00004622,2026-11-03 01:40:12,VALID,USR37834,MCH5213,19118.63,VALID,UTR1692756805,VALID,5812.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,Keer Yadav,7011.0,Hospitality & Hotels,Private Limited,Jalandhar,Punjab,2023-04-09,NHOQ3812159504524,Active,2157.19,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED,TXN00004622,1.0,1330.95,2026-01-24 17:29:00,SERVICE_NOT_PROVIDED,MEDIUM,False,True,True,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,1,1,False,True,False,,,1,19118.63,1.0,0,1,19118.63,0.0,19118.63,,,False,,False,False,False,7,121982.15,1.0,1,0.14285714285714285,False,True,950.0,11123760.77,125.0,0.13157894736842105,0.0,0.0,4,0.15396825396825395,MEDIUM
TXN00001542,2026-02-21 01:33:17,VALID,USR78386,MCH4890,2680.85,VALID,UTR3430344329,VALID,5912.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1,5,True,True,False,,,1,2680.85,0.0,0,1,2680.85,0.0,2680.85,,,False,,False,False,False,2,13249.960000000001,0.0,0,,True,False,,,,,0.0,0.0,1,0.027777777777777776,LOW
TXN00002592,2026-02-21 05:47:48,VALID,USR21114,MCH9819,20100.92,VALID,UTR3572682179,VALID,,MISSING,PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5,5,True,False,False,,,1,20100.92,0.0,0,1,20100.92,0.0,20100.92,,,False,,False,False,False,1,20100.92,0.0,0,,True,False,,,,,0.0,0.0,0,0.0,LOW
TXN00017665,2026-01-21 15:06:13,VALID,USR96222,MCH6009,16257.95,VALID,UTR4021669116,VALID,5411.0,VALID,PROCESSING,,,,,,,,,,,,,,,,,,,"Nagar, Chowdhury And Raghavan",5942.0,Books & Stationery,Private Limited,Pune,Maharashtra,,XXXX6864,Active,1266.03,Unique,missing,MASKED,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,15,2,False,False,False,,,1,16257.95,0.0,0,1,16257.95,0.0,16257.95,,,False,,False,False,False,4,79151.28,0.0,0,0.0,False,False,850.0,10256313.08,112.0,0.13176470588235295,0.0,0.0,1,0.027777777777777776,LOW
TXN00002012,2026-03-06 13:48:49,VALID,USR13976,MCH8222,1575.7,VALID,UTR0496925866,VALID,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,13,4,False,False,False,,,1,1575.7,0.0,0,1,1575.7,0.0,1575.7,,,False,,False,False,False,4,14747.140000000003,1.0,1,0.25,False,False,,,,,0.0,0.0,0,0.075,LOW
TXN00015655,2026-01-09 05:05:51,VALID,USR55935,MCH8480,18230.29,VALID,UTR6094940155,VALID,4131.0,MISSING,SUCCESS,,,,,,,,,,,,,,,,,,,Doshi Sarin,4131.0,Transport & Travel,Individual,Pune,Maharashtra,2023-07-02,,Active,1310.85,Unique,present,MISSING,PROVIDED,PROVIDED,,,,,,,False,True,False,1,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5,4,False,False,False,,,1,18230.29,0.0,0,1,18230.29,0.0,18230.29,,,False,,False,False,False,3,49478.51,0.0,0,0.0,False,False,991.0,11848066.26,143.0,0.1442986881937437,0.0,0.0,1,0.027777777777777776,LOW
TXN00011091,2026-03-03 19:17:39,VALID,USR13890,MCH8216,-23820.57,NEGATIVE,UTR6527062794,VALID,4131.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,19,1,False,False,False,,,2,-5360.57,0.0,0,2,18460.0,0.0,-2680.285,29896.877759432504,-0.7071067811865476,False,,False,False,False,6,45342.87,0.0,0,0.0,False,False,,,,,0.0,0.0,1,0.027777777777777776,LOW
TXN00008584,2026-01-17 18:53:31,VALID,USR15778,MCH3250,5546.0,VALID,UTR0928079796,VALID,5912.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,Bose Kalita,5311.0,Department Store,Sole Proprietorship,Mumbai,Maharashtra,,,Inactive,1514.47,Unique,missing,MISSING,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,18,5,True,False,False,,,1,5546.0,0.0,0,1,5546.0,0.0,5546.0,,,False,,False,False,False,3,24942.510000000002,0.0,0,0.0,False,False,725.0,8779829.22,85.0,0.11724137931034483,0.0,0.0,0,0.0,LOW
TXN00004474,2026-01-17 19:39:58,VALID,USR15834,MCH3895,8892.43,VALID,UTR4987418462,VALID,5812.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,Wable Sarna,7011.0,Hospitality & Hotels,Private Limited,Jaipur,Rajasthan,2024-06-20,,Inactive,797.39,Unique,present,MISSING,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,19,5,True,False,False,,,1,8892.43,0.0,0,1,8892.43,0.0,8892.43,,,False,,False,False,False,2,26782.38,1.0,1,,True,False,950.0,11123760.77,125.0,0.13157894736842105,0.0,0.0,1,0.027777777777777776,LOW
TXN00013857,2026-01-24 07:35:23,VALID,USR33189,MCH4645,1816.08,VALID,UTR8739611115,VALID,5912.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,7,5,True,False,False,,,1,1816.08,0.0,0,1,1816.08,0.0,1816.08,,,False,,False,False,False,4,45195.33,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00012705,2026-01-23 18:56:04,VALID,USR48168,MCH4207,3530.72,VALID,UTR0498515755,VALID,5411.0,VALID,SUCCESS,Krishna Ray,LCWSY9703S,VALID,318593541694,VALID,1990-01-11,VALID,Amritsar,Punjab,30690.0,STANDARD_INCOME,Retired,2025-06-13 01:07:16,2025-06-13,457.0,VALID,Medium,PENDING,,,,,,,,,,,,,,,,,,,,,,True,False,False,0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18,4,False,False,False,2025-06-13,224.0,1,3530.72,0.0,0,1,3530.72,0.0,3530.72,,,False,0.009587053328988812,False,False,False,3,7392.26,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00008884,2026-01-02 23:17:20,VALID,USR99474,MCH1206,7998.11,VALID,UTR6778164754,VALID,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,23,4,False,False,False,,,2,16569.65,0.0,0,2,8571.54,0.0,8284.825,405.47624153580244,-0.7071067811865492,False,,False,False,False,4,36844.630000000005,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00007528,2026-01-30 18:33:12,VALID,USR86253,MCH1683,13694.93,VALID,UTR6390761420,VALID,5411.0,VALID,SUCCESS,Virajdugar,AZCPU9435E,VALID,533585984187,VALID,2002-09-05,VALID,Bengaluru,Karnataka,51941.0,STANDARD_INCOME,Farmer,13/01/2026,2026-01-13,243.0,DATE_ONLY,Low,APPROVED,"Sampath, Anne And Madan",5812.0,Food & Restaurant,Partnership,Chennai,Tamil Nadu,2026-02-14,XXXX9435,Active,2458.98,Unique,present,MASKED,PROVIDED,PROVIDED,,,,,,,True,True,False,0,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18,4,False,False,False,2026-01-13,17.0,2,37564.82,0.0,0,2,23869.89,0.0,18782.41,7194.783214301873,-0.7071067811865475,False,0.06026841352046874,False,False,False,4,57129.6,0.0,0,0.0,False,False,843.0,10088669.0,107.0,0.1269276393831554,0.0,0.0,1,0.027777777777777776,LOW
TXN00011321,2026-02-25 08:44:40,VALID,USR85411,MCH6621,15076.69,VALID,UTR9700714037,VALID,7011.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,2,False,False,False,,,1,15076.69,0.0,0,1,15076.69,0.0,15076.69,,,False,,False,False,False,3,45528.68000000001,2.0,1,0.3333333333333333,False,False,,,,,0.0,0.0,0,0.09999999999999999,LOW
TXN00003742,2026-03-20 05:35:40,VALID,USR92327,MCH8759,20437.02,VALID,UTR3393354693,VALID,5812.0,VALID,SUCCESS,Zansi Rana,SFNAJ1978T,VALID,867856536072,VALID,1970-01-15,VALID,Hyderabad,Telangana,,MISSING,Gig Worker,06-24-2025,2025-06-24,446.0,DATE_ONLY,Medium,APPROVED,,,,,,,,,,,,,,,,,,,,,,True,False,False,0,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,4,False,False,False,2025-06-24,269.0,1,20437.02,0.0,0,1,20437.02,0.0,20437.02,,,False,,False,False,False,2,27610.67,0.0,0,,True,False,,,,,0.0,0.0,0,0.0,LOW
TXN00008492,2026-02-02 18:27:43,VALID,USR54536,MCH8074,3384.6,VALID,UTR3320495895,VALID,4814.0,MISSING,SUCCESS,,,,,,,,,,,,,,,,,,,Prakash Bera,4814.0,Telecom,Individual,Jalandhar,Punjab,2024-04-12,2437188894,Unknown,439.79,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED,,,,,,,False,True,False,1,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,18,0,False,False,False,,,1,3384.6,0.0,0,1,3384.6,0.0,3384.6,,,False,,False,False,False,4,46793.369999999995,0.0,0,0.0,False,False,1079.0,13002303.95,143.0,0.13253012048192772,0.0,0.0,1,0.027777777777777776,LOW
TXN00016765,2026-03-26 12:18:46,VALID,USR93890,MCH5711,20091.0,VALID,UTR9203187638,VALID,,MISSING,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,12,3,False,False,False,,,1,20091.0,0.0,1,1,20091.0,1.0,20091.0,,,False,,False,False,False,3,25058.14,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00017694,2026-01-13 15:03:46,VALID,USR40732,MCH9490,9002.0,VALID,UTR2443914333,VALID,5411.0,VALID,FAILED,Maya Vyas,QASAC3178C,VALID,,MISSING,1964-06-09,VALID,Amritsar,Punjab,84371.0,STANDARD_INCOME,Gig Worker,,,,MISSING_DATE,Unknown,APPROVED,,,,,,,,,,,,,,,,,,,,,,True,False,False,0,62.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15,1,False,False,False,,,1,9002.0,0.0,1,1,9002.0,1.0,9002.0,,,False,0.00889128571033491,False,False,False,6,67286.15,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00006528,2026-03-28 10:06:31,VALID,USR29622,MCH4964,20882.75,VALID,UTR4641185560,VALID,5311.0,MISSING,FAILED,Vivaan Magar,LVEAU8072L,VALID,166665158418,VALID,1981-04-04,VALID,Kolkata,West Bengal,28465.0,STANDARD_INCOME,Freelancer,04/01/2026 08:39 AM,2026-04-01,165.0,VALID,Low,APPROVED,Sarkar Goda,5311.0,Department Store,Private Limited,Pune,Maharashtra,2025-07-14,,Suspended,0.1517,Found Duplicate,present,MISSING,PROVIDED,PROVIDED,,,,,,,True,True,False,1,45.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,10,5,True,False,False,2026-04-01,-4.0,1,20882.75,0.0,1,1,20882.75,1.0,20882.75,,,False,0.061135751507699516,False,False,False,4,66454.31,0.0,0,0.0,False,False,725.0,8779829.22,85.0,0.11724137931034483,0.0,0.0,2,0.05555555555555555,LOW
TXN00013401,2026-04-03 18:19:19,VALID,USR31880,MCH1798,24701.82,VALID,UTR8784371040,VALID,5912.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,18,4,False,False,False,,,1,24701.82,0.0,0,1,24701.82,0.0,24701.82,,,False,,False,False,False,3,38565.97,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00004494,2026-02-24 12:34:51,VALID,USR95466,MCH5376,19908.13,VALID,UTR0075153514,VALID,7011.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,"Narayanan, Palla And Tripathi",4814.0,Telecom,Sole Proprietorship,Ludhiana,Punjab,2025-08-14,IUFK0088105725528,Active,2169.37,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,12,1,False,False,False,,,1,19908.13,0.0,0,1,19908.13,0.0,19908.13,,,False,,False,False,False,3,55961.78,0.0,0,0.0,False,False,1079.0,13002303.95,143.0,0.13253012048192772,0.0,0.0,1,0.027777777777777776,LOW
TXN00011094,2026-03-05 11:29:40,VALID,USR75900,MCH1058,8314.42,VALID,UTR9917244266,VALID,5311.0,MISSING,SUCCESS,Radhika Zacharia,OQJQH3235A,VALID,XXXXXXXX5296,MASKED,2002-04-18,VALID,Delhi,Delhi,25435.0,STANDARD_INCOME,Self Employed,2025-05-12 22:38:40,2025-05-12,489.0,VALID,Unknown,REJECTED,"Vyas,Virkanddatta",5311.0,Department Store,Partnership,Pune,Maharashtra,2023-01-20,XXXX0826,Unknown,1504.39,Unique,present,MASKED,PROVIDED,PROVIDED,,,,,,,True,True,False,1,24.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,11,3,False,False,False,2025-05-12,297.0,1,8314.42,0.0,0,1,8314.42,0.0,8314.42,,,False,0.027240744381102158,False,False,False,4,53848.59,1.0,1,0.25,False,True,725.0,8779829.22,85.0,0.11724137931034483,0.0,0.7,3,0.22833333333333333,MEDIUM
