ring_id,ring_type,cycle_accounts,entity_count,composite_score,cluster_volume,description
RING-DISPUTE-1567,COORDINATED_DISPUTE_NETWORK,MCH4426 -> MCH4059 -> USR25501 -> USR94218,4,0.75,37558.35,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1552,COORDINATED_DISPUTE_NETWORK,USR36829 -> USR48829 -> USR56428 -> MCH1508,4,0.75,47494.01,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1560,COORDINATED_DISPUTE_NETWORK,MCH3549 -> USR52604 -> USR93864 -> USR30005,4,0.75,47166.97,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1566,COORDINATED_DISPUTE_NETWORK,MCH2497 -> USR32125 -> USR37202 -> USR29739,4,0.75,31185.47,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1565,COORDINATED_DISPUTE_NETWORK,USR10365 -> USR62989 -> USR93454 -> MCH1195,4,0.75,33144.76,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1564,COORDINATED_DISPUTE_NETWORK,MCH3285 -> USR48012 -> USR39980 -> USR26389,4,0.75,34773.21,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1563,COORDINATED_DISPUTE_NETWORK,MCH4669 -> USR54294 -> MCH1089 -> USR20097,4,0.75,38186.1,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1562,COORDINATED_DISPUTE_NETWORK,USR89800 -> USR68914 -> USR97571 -> MCH3520,4,0.75,50843.64,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1553,COORDINATED_DISPUTE_NETWORK,MCH5530 -> USR52174 -> USR84915 -> USR84883,4,0.75,39055.03,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1561,COORDINATED_DISPUTE_NETWORK,USR18716 -> USR33647 -> MCH9506 -> MCH5134,4,0.75,22570.37,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1559,COORDINATED_DISPUTE_NETWORK,USR52672 -> USR49397 -> USR83281 -> MCH2179,4,0.75,21531.1,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1558,COORDINATED_DISPUTE_NETWORK,USR60393 -> MCH6796 -> USR52158 -> MCH4981,4,0.75,35408.76,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1557,COORDINATED_DISPUTE_NETWORK,USR36102 -> MCH5278 -> USR17860 -> USR23485,4,0.75,45200.09,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1556,COORDINATED_DISPUTE_NETWORK,MCH6365 -> USR60002 -> USR30438 -> MCH3232,4,0.75,61274.48,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1555,COORDINATED_DISPUTE_NETWORK,MCH3208 -> MCH7269 -> USR99049 -> USR37899,4,0.75,19677.94,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1554,COORDINATED_DISPUTE_NETWORK,USR61021 -> MCH4302 -> MCH2942 -> USR63885,4,0.75,27869.5,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1549,COORDINATED_DISPUTE_NETWORK,USR20637 -> MCH4243 -> USR42648 -> USR65826,4,0.75,48177.37,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-SYNTH-1043,SYNTHETIC_IDENTITY_MULE_RING,USR87882 -> USR87882,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ekaja Dey, Ekaja Dey"
RING-SYNTH-1042,SYNTHETIC_IDENTITY_MULE_RING,USR68718 -> USR68718,2,0.7,-17351.8,"Duplicate PAN document shared across 2 customer profiles: Eshana Kannan, Eshana Kannan"
RING-SYNTH-1041,SYNTHETIC_IDENTITY_MULE_RING,USR68998 -> USR68998,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Daksha Agarwal, Daksha Agarwal"
RING-SYNTH-1040,SYNTHETIC_IDENTITY_MULE_RING,USR85174 -> USR85174,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Charles Goswami, Charles Goswami"
RING-SYNTH-1038,SYNTHETIC_IDENTITY_MULE_RING,USR95322 -> USR95322,2,0.7,20193.41,"Duplicate PAN document shared across 2 customer profiles: Advik Sahota, Advik Sahota"
RING-SYNTH-1039,SYNTHETIC_IDENTITY_MULE_RING,USR42498 -> USR42498,2,0.7,1886.59,"Duplicate PAN document shared across 2 customer profiles: Jackson Bajaj, Jackson Bajaj"
RING-SYNTH-1029,SYNTHETIC_IDENTITY_MULE_RING,USR64763 -> USR64763,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Watika Sani, Watika Sani"
RING-SYNTH-1037,SYNTHETIC_IDENTITY_MULE_RING,USR54005 -> USR54005,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Amrita Mukhopadhyay, Amrita Mukhopadhyay"
RING-SYNTH-1036,SYNTHETIC_IDENTITY_MULE_RING,USR56508 -> USR56508,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gaurang Golla, Gaurang Golla"
RING-SYNTH-1035,SYNTHETIC_IDENTITY_MULE_RING,USR99390 -> USR99390,2,0.7,2128.31,"Duplicate PAN document shared across 2 customer profiles: Utkarsh Walla, Utkarsh Walla"
RING-SYNTH-1034,SYNTHETIC_IDENTITY_MULE_RING,USR36426 -> USR36426,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Odika Gaba, Odika Gaba"
RING-SYNTH-1033,SYNTHETIC_IDENTITY_MULE_RING,USR23907 -> USR23907,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chaman Issac, Chaman Issac"
RING-SYNTH-1032,SYNTHETIC_IDENTITY_MULE_RING,USR18361 -> USR18361,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Daksha Sachar, Daksha Sachar"
RING-SYNTH-1031,SYNTHETIC_IDENTITY_MULE_RING,USR39820 -> USR39820,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Nandini Dugar, Nandini Dugar"
RING-SYNTH-1030,SYNTHETIC_IDENTITY_MULE_RING,USR88249 -> USR88249,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Vedhika Ramaswamy, Vedhika Ramaswamy"
RING-SYNTH-1045,SYNTHETIC_IDENTITY_MULE_RING,USR69845 -> USR69845,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chandresh Kalla, Chandresh Kalla"
RING-SYNTH-1044,SYNTHETIC_IDENTITY_MULE_RING,USR23715 -> USR23715,2,0.7,5436.43,"Duplicate PAN document shared across 2 customer profiles: Tanmayi Shanker, Tanmayi Shanker"
RING-SYNTH-1057,SYNTHETIC_IDENTITY_MULE_RING,USR77426 -> USR77426,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Samar Bassi, Samar Bassi"
RING-SYNTH-1046,SYNTHETIC_IDENTITY_MULE_RING,USR78757 -> USR78757,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Triya Krishna, Triya Krishna"
RING-SYNTH-1058,SYNTHETIC_IDENTITY_MULE_RING,USR81058 -> USR81058,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Avi Chhabra, Avi Chhabra"
RING-SYNTH-1067,SYNTHETIC_IDENTITY_MULE_RING,USR61057 -> USR61057,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Samarth Buch, Samarth Buch"
RING-SYNTH-1066,SYNTHETIC_IDENTITY_MULE_RING,USR67424 -> USR67424,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Bhanumati Narain, Bhanumati Narain"
RING-SYNTH-1065,SYNTHETIC_IDENTITY_MULE_RING,USR96205 -> USR96205,2,0.7,17865.26,"Duplicate PAN document shared across 2 customer profiles: Amara Bajwa, Amara Bajwa"
RING-SYNTH-1064,SYNTHETIC_IDENTITY_MULE_RING,USR66154 -> USR66154,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Damyanti Bath, Damyanti Bath"
RING-SYNTH-1063,SYNTHETIC_IDENTITY_MULE_RING,USR75835 -> USR75835,2,0.7,17339.74,"Duplicate PAN document shared across 2 customer profiles: Ronithvenkatesh, Ronithvenkatesh"
RING-SYNTH-1062,SYNTHETIC_IDENTITY_MULE_RING,USR23369 -> USR23369,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Garima Mammen, Garima Mammen"
RING-SYNTH-1061,SYNTHETIC_IDENTITY_MULE_RING,USR87969 -> USR87969,2,0.7,34935.69,"Duplicate PAN document shared across 2 customer profiles: Adweta Jayaraman, Adweta Jayaraman"
RING-SYNTH-1060,SYNTHETIC_IDENTITY_MULE_RING,USR11479 -> USR11479,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Nidhi Chatterjee, Nidhi Chatterjee"
RING-SYNTH-1059,SYNTHETIC_IDENTITY_MULE_RING,USR15771 -> USR15771,2,0.7,13838.75,"Duplicate PAN document shared across 2 customer profiles: Bhavna Lata, Bhavna Lata"
RING-SYNTH-1027,SYNTHETIC_IDENTITY_MULE_RING,USR86229 -> USR86229,2,0.7,9946.0,"Duplicate PAN document shared across 2 customer profiles: Odikadin, Odikadin"
RING-SYNTH-1047,SYNTHETIC_IDENTITY_MULE_RING,USR77609 -> USR77609,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Wriddhish Maharaj, Wriddhish Maharaj"
RING-SYNTH-1056,SYNTHETIC_IDENTITY_MULE_RING,USR70352 -> USR70352,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Manthan Singhal, Manthan Singhal"
RING-SYNTH-1055,SYNTHETIC_IDENTITY_MULE_RING,USR25788 -> USR25788,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Urvi Chaudhuri, Urvi Chaudhuri"
RING-SYNTH-1054,SYNTHETIC_IDENTITY_MULE_RING,USR82534 -> USR82534,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ekalinga Deep, Ekalinga Deep"
RING-SYNTH-1053,SYNTHETIC_IDENTITY_MULE_RING,USR31057 -> USR31057,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chakradhar Roy, Chakradhar Roy"
RING-SYNTH-1052,SYNTHETIC_IDENTITY_MULE_RING,USR78415 -> USR78415,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Nihal Das, Nihal Das"
RING-SYNTH-1051,SYNTHETIC_IDENTITY_MULE_RING,USR49927 -> USR49927,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Frado Kothari, Frado Kothari"
RING-SYNTH-1050,SYNTHETIC_IDENTITY_MULE_RING,USR70544 -> USR70544,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Jai Wali, Jai Wali"
RING-SYNTH-1049,SYNTHETIC_IDENTITY_MULE_RING,USR93280 -> USR93280,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Madhavi Pal, Madhavi Pal"
RING-SYNTH-1048,SYNTHETIC_IDENTITY_MULE_RING,USR12494 -> USR12494,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Nidhi Subramanian, Nidhi Subramanian"
RING-SYNTH-1028,SYNTHETIC_IDENTITY_MULE_RING,USR98750 -> USR98750,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gaurangi Saran, Gaurangi Saran"
RING-SYNTH-1015,SYNTHETIC_IDENTITY_MULE_RING,USR23623 -> USR23623,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Zansi Varghese, Zansi Varghese"
RING-SYNTH-1026,SYNTHETIC_IDENTITY_MULE_RING,USR70939 -> USR70939,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Forum Vora, Forum Vora"
RING-SYNTH-1025,SYNTHETIC_IDENTITY_MULE_RING,USR18184 -> USR18184,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Zehaan Bhardwaj, Zehaan Bhardwaj"
RING-SYNTH-1000,SYNTHETIC_IDENTITY_MULE_RING,USR40670 -> USR40670,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Bhanumati Sridhar, Bhanumati Sridhar"
RING-SYNTH-0999,SYNTHETIC_IDENTITY_MULE_RING,USR27112 -> USR27112,2,0.7,15077.54,"Duplicate PAN document shared across 2 customer profiles: Dayita Venkatesh, Dayita Venkatesh"
RING-SYNTH-0998,SYNTHETIC_IDENTITY_MULE_RING,USR34181 -> USR34181,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chatresh Bajaj, Chatresh Bajaj"
RING-SYNTH-0997,SYNTHETIC_IDENTITY_MULE_RING,USR10900 -> USR10900,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gautam Deep, Gautam Deep"
RING-SYNTH-0996,SYNTHETIC_IDENTITY_MULE_RING,USR10593 -> USR10593,2,0.7,958.38,"Duplicate PAN document shared across 2 customer profiles: Rishi Kashyap, Rishi Kashyap"
RING-SYNTH-0995,SYNTHETIC_IDENTITY_MULE_RING,USR84363 -> USR84363,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ojasvi Lad, Ojasvi Lad"
RING-SYNTH-0994,SYNTHETIC_IDENTITY_MULE_RING,USR57231 -> USR57231,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Xavier Mann, Xavier Mann"
RING-SYNTH-0993,SYNTHETIC_IDENTITY_MULE_RING,USR37276 -> USR37276,2,0.7,1670.43,"Duplicate PAN document shared across 2 customer profiles: Zayan Goel, Zayan Goel"
RING-SYNTH-0992,SYNTHETIC_IDENTITY_MULE_RING,USR94754 -> USR94754,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Charita Anne, Charita Anne"
RING-SYNTH-0991,SYNTHETIC_IDENTITY_MULE_RING,USR47471 -> USR47471,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: William Datta, William Datta"
RING-SYNTH-0990,SYNTHETIC_IDENTITY_MULE_RING,USR55883 -> USR55883,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Janaki Gour, Janaki Gour"
RING-SYNTH-0989,SYNTHETIC_IDENTITY_MULE_RING,USR47677 -> USR47677,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Karan Minhas, Karan Minhas"
RING-SYNTH-0988,SYNTHETIC_IDENTITY_MULE_RING,USR99535 -> USR99535,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Baghyawati Thaker, Baghyawati Thaker"
RING-SYNTH-0987,SYNTHETIC_IDENTITY_MULE_RING,USR16969 -> USR16969,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Michael Sant, Michael Sant"
RING-SYNTH-0986,SYNTHETIC_IDENTITY_MULE_RING,USR97910 -> USR97910,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Vanya Char, Vanya Char"
RING-SYNTH-0985,SYNTHETIC_IDENTITY_MULE_RING,USR42576 -> USR42576,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Arunima Chacko, Arunima Chacko"
RING-SYNTH-0984,SYNTHETIC_IDENTITY_MULE_RING,USR55462 -> USR55462,2,0.7,9702.25,"Duplicate PAN document shared across 2 customer profiles: Balvan Arya, Balvan Arya"
RING-SYNTH-0983,SYNTHETIC_IDENTITY_MULE_RING,USR16339 -> USR16339,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Aradhana Gole, Aradhana Gole"
RING-SYNTH-0982,SYNTHETIC_IDENTITY_MULE_RING,USR79007 -> USR79007,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gayathri Sant, Gayathri Sant"
RING-SYNTH-0981,SYNTHETIC_IDENTITY_MULE_RING,USR39737 -> USR39737,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Dhriti Samra, Dhriti Samra"
RING-SYNTH-0980,SYNTHETIC_IDENTITY_MULE_RING,USR52208 -> USR52208,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Tripti Bakshi, Tripti Bakshi"
RING-SYNTH-1001,SYNTHETIC_IDENTITY_MULE_RING,USR20804 -> USR20804,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ronith Verma, Ronith Verma"
RING-SYNTH-1002,SYNTHETIC_IDENTITY_MULE_RING,USR70894 -> USR70894,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chaitanya Mahajan, Chaitanya Mahajan"
RING-SYNTH-1003,SYNTHETIC_IDENTITY_MULE_RING,USR47148 -> USR47148,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Luke Tella, Luke Tella"
RING-SYNTH-1069,SYNTHETIC_IDENTITY_MULE_RING,USR63723 -> USR63723,2,0.7,21952.06,"Duplicate PAN document shared across 2 customer profiles: Bakhshi Murty, Bakhshi Murty"
RING-SYNTH-1024,SYNTHETIC_IDENTITY_MULE_RING,USR47664 -> USR47664,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Urmi Bumb, Urmi Bumb"
RING-SYNTH-1023,SYNTHETIC_IDENTITY_MULE_RING,USR36522 -> USR36522,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ekani Baral, Ekani Baral"
RING-SYNTH-1022,SYNTHETIC_IDENTITY_MULE_RING,USR79506 -> USR79506,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Hitesh Narula, Hitesh Narula"
RING-SYNTH-1021,SYNTHETIC_IDENTITY_MULE_RING,USR78571 -> USR78571,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gautamisanghvi, Gautamisanghvi"
RING-SYNTH-1020,SYNTHETIC_IDENTITY_MULE_RING,USR32780 -> USR32780,2,0.7,12861.21,"Duplicate PAN document shared across 2 customer profiles: Madhavi Mistry, Madhavi Mistry"
RING-SYNTH-1019,SYNTHETIC_IDENTITY_MULE_RING,USR64021 -> USR64021,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gautam Sarkar, Gautam Sarkar"
RING-SYNTH-1018,SYNTHETIC_IDENTITY_MULE_RING,USR57423 -> USR57423,2,0.7,9619.75,"Duplicate PAN document shared across 2 customer profiles: Joshua Dube, Joshua Dube"
RING-SYNTH-1017,SYNTHETIC_IDENTITY_MULE_RING,USR21307 -> USR21307,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Peter Baral, Peter Baral"
RING-SYNTH-1016,SYNTHETIC_IDENTITY_MULE_RING,USR81365 -> USR81365,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Bakhshi Master, Bakhshi Master"
RING-SYNTH-1014,SYNTHETIC_IDENTITY_MULE_RING,USR40061 -> USR40061,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Sai Rao, Sai Rao"
RING-SYNTH-1004,SYNTHETIC_IDENTITY_MULE_RING,USR27863 -> USR27863,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Nidra Hans, Nidra Hans"
RING-SYNTH-1013,SYNTHETIC_IDENTITY_MULE_RING,USR46872 -> USR46872,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Jagvivarghese, Jagvivarghese"
RING-SYNTH-1012,SYNTHETIC_IDENTITY_MULE_RING,USR53365 -> USR53365,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Vihaan Palla, Vihaan Palla"
RING-SYNTH-1011,SYNTHETIC_IDENTITY_MULE_RING,USR79101 -> USR79101,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Ikshita Dutt, Ikshita Dutt"
RING-SYNTH-1010,SYNTHETIC_IDENTITY_MULE_RING,USR20401 -> USR20401,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Yagnesh Sarma, Yagnesh Sarma"
RING-SYNTH-1009,SYNTHETIC_IDENTITY_MULE_RING,USR67599 -> USR67599,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gautam Sunder, Gautam Sunder"
RING-SYNTH-1008,SYNTHETIC_IDENTITY_MULE_RING,USR44353 -> USR44353,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Damyanti Kaul, Damyanti Kaul"
RING-SYNTH-1007,SYNTHETIC_IDENTITY_MULE_RING,USR73413 -> USR73413,2,0.7,9465.06,"Duplicate PAN document shared across 2 customer profiles: Andrew Tara, Andrew Tara"
RING-SYNTH-1006,SYNTHETIC_IDENTITY_MULE_RING,USR87690 -> USR87690,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Amara Warrior, Amara Warrior"
RING-SYNTH-1005,SYNTHETIC_IDENTITY_MULE_RING,USR29201 -> USR29201,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Jairaj Mukhopadhyay, Jairaj Mukhopadhyay"
RING-SYNTH-1068,SYNTHETIC_IDENTITY_MULE_RING,USR13096 -> USR13096,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Gaurangi Das, Gaurangi Das"
RING-SYNTH-1083,SYNTHETIC_IDENTITY_MULE_RING,USR60411 -> USR60411,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Anirudh Mukhopadhyay, Anirudh Mukhopadhyay"
RING-SYNTH-1070,SYNTHETIC_IDENTITY_MULE_RING,USR66395 -> USR66395,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Arunima Lalla, Arunima Lalla"
RING-SYNTH-1119,SYNTHETIC_IDENTITY_MULE_RING,USR97611 -> USR97611,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Divya Patel, Divya Patel"
RING-SYNTH-1141,SYNTHETIC_IDENTITY_MULE_RING,USR89681 -> USR89681,2,0.7,15277.55,"Duplicate PAN document shared across 2 customer profiles: Yoshita Mane, Yoshita Mane"
RING-SYNTH-1140,SYNTHETIC_IDENTITY_MULE_RING,USR95566 -> USR95566,2,0.7,12602.18,"Duplicate PAN document shared across 2 customer profiles: Ekta Goswami, Ekta Goswami"
RING-SYNTH-1139,SYNTHETIC_IDENTITY_MULE_RING,USR97130 -> USR97130,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Chatreshjohal, Chatreshjohal"
RING-SYNTH-1138,SYNTHETIC_IDENTITY_MULE_RING,USR44629 -> USR44629,2,0.7,33822.26,"Duplicate PAN document shared across 2 customer profiles: Aishani Sur, Aishani Sur"
RING-SYNTH-1137,SYNTHETIC_IDENTITY_MULE_RING,USR49989 -> USR49989,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Balvan Bandi, Balvan Bandi"
RING-SYNTH-1136,SYNTHETIC_IDENTITY_MULE_RING,USR33718 -> USR33718,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Jack Khosla, Jack Khosla"
RING-SYNTH-1135,SYNTHETIC_IDENTITY_MULE_RING,USR65879 -> USR65879,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Vedhika Munshi, Vedhika Munshi"
RING-SYNTH-1134,SYNTHETIC_IDENTITY_MULE_RING,USR86573 -> USR86573,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Finn Wali, Finn Wali"
RING-SYNTH-1133,SYNTHETIC_IDENTITY_MULE_RING,USR85806 -> USR85806,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Parth Kothari, Parth Kothari"
RING-SYNTH-1132,SYNTHETIC_IDENTITY_MULE_RING,USR99213 -> USR99213,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Kabir Soman, Kabir Soman"
RING-SYNTH-1131,SYNTHETIC_IDENTITY_MULE_RING,USR93592 -> USR93592,2,0.7,2449.27,"Duplicate PAN document shared across 2 customer profiles: Triya De, Triya De"
RING-SYNTH-1130,SYNTHETIC_IDENTITY_MULE_RING,USR57479 -> USR57479,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Mahika Karpe, Mahika Karpe"
RING-SYNTH-1129,SYNTHETIC_IDENTITY_MULE_RING,USR21376 -> USR21376,2,0.7,0.0,"Duplicate PAN document shared across 2 customer profiles: Yatin Behl, Yatin Behl"
